	Ca009STPN_Ca-009-ST_nasal_case-anterior	900223_Ca-101-ID_nasal_case-anterior	Ca010EBPN_Ca-010-EB_nasal_case-anterior	900462_Ca-146-SM_nasal_case-anterior	900053_Ca-011-LQ_nasal_case-anterior	900228_Ca-103-BT_nasal_case-anterior	900059_Ca-013-NN_nasal_case-anterior	900231_Ca-104-SB_nasal_case-anterior	900234_Ca-105-LX_nasal_case-anterior	900062_Ca-014-LB_nasal_case-anterior	900237_Ca-106-NM_nasal_case-anterior	900065_Ca-015-AM_nasal_case-anterior	900240_Ca-107-BM_nasal_case-anterior	900069_Ca-016-YT_nasal_case-anterior	900257_Ca-108-EJ_nasal_case-anterior	900072_Ca-017-OM_nasal_case-anterior	900484_Ca-153-MN_nasal_case-anterior	900075_Ca-018-AS_nasal_case-anterior	900080_Ca-019-EC_nasal_case-anterior	900275_Ca-110-LN_nasal_case-anterior	900083_Ca-020-AZ_nasal_case-anterior	900278_Ca-111-IN_nasal_case-anterior	900086_Ca-021-IM_nasal_case-anterior	900301_Ca-112-AM_nasal_case-anterior	900295_Ca-113-MN_nasal_case-anterior	900089_Ca-022-MS_nasal_case-anterior	900298_Ca-114-QT_nasal_case-anterior	900092_Ca-023-EJ_nasal_case-anterior	900304_Ca-115-OM_nasal_case-anterior	900095_Ca-024-ZM_nasal_case-anterior	900307_Ca-116-AN_nasal_case-anterior	900098_Ca-025-AC_nasal_case-anterior	900487_Ca-154-OS_nasal_case-anterior	900310_Ca-117-SM_nasal_case-anterior	900101_Ca-026-KM_nasal_case-anterior	900333_Ca-118-AS_nasal_case-anterior	900104_Ca-027-IM_nasal_case-anterior	900330_Ca-119-AM_nasal_case-anterior	900109_Ca-029-TD_nasal_case-anterior	900339_Ca-120-ST_nasal_case-anterior	900112_Ca-030-LM_nasal_case-anterior	900115_Ca-031-AN_nasal_case-anterior	900336_Ca-121-BT_nasal_case-anterior	900118_Ca-032-LN_nasal_case-anterior	900342_Ca-122-UK_nasal_case-anterior	900121_Ca-033-UD_nasal_case-anterior	900124_Ca-034-LS_nasal_case-anterior	900469_Ca-148-AL_nasal_case-anterior	900478_Ca-151-QR_nasal_case-anterior	900404_Ca-126-KB_nasal_case-anterior	900131_Ca-035-AR_nasal_case-anterior	900134_Ca-036-TK_nasal_case-anterior	900407_Ca-127-OM_nasal_case-anterior	900149_Ca-037-HM_nasal_case-anterior	900410_Ca-128-SN_nasal_case-anterior	900559_Ca-042-AM_nasal_case-anterior	900416_Ca-129-AJ_nasal_case-anterior	900413_Ca-130-PM_nasal_case-anterior	900556_Ca-043-SS_nasal_case-anterior	900419_Ca-131-PM_nasal_case-anterior	900580_Ca-045-HN_nasal_case-anterior	900422_Ca-132-LD_nasal_case-anterior	900571_Ca-046-MT_nasal_case-anterior	900425_Ca-133-LT_nasal_case-anterior	900574_Ca-047-MD_nasal_case-anterior	900106_Ca-028-PN_nasal_case-anterior	900430_Ca-135-NS_nasal_case-anterior	900432_Ca-136-OM_nasal_case-anterior	900428_Ca-134-IT_nasal_case-anterior	900577_Ca-047-MD_nasal_case-anterior	900583_Ca-049-LM_nasal_case-anterior	900589_Ca-050-MM_nasal_case-anterior	900438_Ca-137-TM_nasal_case-anterior	900586_Ca-051-AM_nasal_case-anterior	900493_Ca-155-LS_nasal_case-anterior	900592_Ca-052-LM_nasal_case-anterior	900435_Ca-138-SM_nasal_case-anterior	900595_Ca-053-NN_nasal_case-anterior	900441_Ca-139-OS_nasal_case-anterior	900612_Ca-054-RN_nasal_case-anterior	900444_Ca-140-EM_nasal_case-anterior	900623_Ca-055-LN_nasal_case-anterior	900447_Ca-141-TC_nasal_case-anterior	900450_Ca-142-AM_nasal_case-anterior	900626_Ca-056-DH_nasal_case-anterior	900453_Ca-143-ST_nasal_case-anterior	900456_Ca-144-HN_nasal_case-anterior	900459_Ca-145-LM_nasal_case-anterior	900466_Ca-147-LJ_nasal_case-anterior	900507_Ca-160-LB_nasal_case-anterior	Ca008HNPN_Ca-008-HN_nasal_case-anterior	900496_Ca-156-MV_nasal_case-anterior	Ca007NKPN_Ca-007-NK_nasal_case-anterior	900475_Ca-150-ZS_nasal_case-anterior	900502_Ca-158-LC_nasal_case-anterior	900505_Ca-159-AS_nasal_case-anterior	900472_Ca-149-LM_nasal_case-anterior	900510_Ca-161-OM_nasal_case-anterior	900126_Ca-009-ZN_nasal_case-anterior	900499_Ca-157-LM_nasal_case-anterior	900396_Ca-123-PG_nasal_case-anterior	9003962_Ca-123-PG_nasal_case-anterior	900399_Ca-125-IM_nasal_case-anterior	9003992_Ca-125-IM_nasal_case-anterior	900402_Ca-124-AB_nasal_case-anterior	9004022_Ca-124-AB_nasal_case-anterior	Ca006ONPN_Ca-006-ON_nasal_case-anterior	Ca006ONPN2_Ca-006-ON_nasal_case-anterior	Unknown
Ca009STNL_Ca-009-ST_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1048003881	0	0	0	0	0	0	0	0.1362653585	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009683337432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0376321127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01415410687	0	0	0	0	0	0	0	0	0.08811392148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1093507749	0.5
900222_Ca-101-ID_skin_case-nonlesional	0	0.3814007684	0	0	0	0	0	0	0.007557887707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00719306634	0	0	0	0	0	0	0.2778263362	0.02390629003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01244084698	0	0	0	0.0127447847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07080577011	0	0	0	0	0	0	0	0	0	0	0	0.1185992316	0	0	0	0	0	0.05396417123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028367809	0	0.005177600738	0	1.54E-05	0	0	0	0
Ca010EBNL_Ca-010-EB_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01436945579	0	0	0	0	0	0	0.1402598388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01170104979	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6916556608	0	0.01490602675	0	0.1199013667	0	0	0.007206601353	0
900461_Ca-146-SM_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06444046491	0	0	0	0	0	0	0.1596701827	0.1511866346	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04091372679	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004678743855	0	0	0	0	0	0	0.0385535892	0	0	0	0.1280575951	0	0	0	0	0	0	0	0	0	0	0	0	0.2029667119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08932478264	0	0	0	0.1202075684	0	0	0	0
900052_Ca-011-LQ_skin_case-nonlesional	0	0	0	0.001831295645	0.01433822249	0.004665232062	0	0	0.02432826111	0.02697185761	0	0	0	0.02667996635	0.002429972552	0.006915951721	0.003466828233	0	0	0	0.003104153706	0	0	0.05184565351	0	0.001205099607	0	0.002400421973	0.01838175929	0.005543726421	0.2548607672	0.006966597652	0	0	0	0.003130630636	0.001010888708	0	0.002664087714	0.01390524087	0.002677222496	0.001195918308	0.02264362607	0	0.002876849194	0	0	0.002938700193	0	0	0.1580391544	0.01165530615	0.001130750921	0.02488387183	0.007280119791	0.01782196778	0	0.01697044504	0.002704385571	0	0.002054110169	0.002153170136	0.003177048408	0	0.00339649601	0	0	0	0	0	0.02635738028	0	0.002038681008	0	0	0	0.000164722603	0	0.02242865269	0	0.003608282113	0.0001248244141	0	0	0.007250571765	0	0.001753923424	0.00683963085	0.004533008185	0	0.02891690411	0	0.01595847164	0	0	0.01194924243	0	0	0.002844009512	0.02112329229	0.08297566441	0	0	0	0.0008869807178	0	0	0	0
900227_Ca-103-BT_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
900058_Ca-013-NN_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3773917069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6226082931
900230_Ca-104-SB_skin_case-nonlesional	0	0	0.01539695998	0.005637069879	0.004935404622	0	0.003161595586	0	0.03218332021	0.008582854157	0	0.002021155892	0.002713929281	0.02168642364	0.003335211699	0	0.01439540443	0.008233343534	0	0.01287566862	0.01255437908	0	0	0	0.006075128893	0.006170162145	0	0.02563804651	0.003804701362	0.008329655833	0	0	0	0.004536064118	0	0.02649953025	0	0.00499360949	0	0.009690098123	0	0.002853770724	0.006099937467	0.004006374281	0.01087944288	0	0	0.007421690932	0	0	0	0.008092290739	0.004514084813	0.03242114748	0.0009194800498	0.004608676081	0	0.007877314101	0.007466198852	0	0.03235941895	0.005783386158	0.006926468234	0	0.003852772512	0	0.008608169063	0	0	0.01638085915	0.008805360849	0	0.006611620505	0	0	0	0.005767558439	0.5	0.00699794912	0	0.01153116315	0.001812678563	0	0	0	0.002208542334	0.01868923049	0	0.006054254377	0	0.003196426803	0	0	0	0	0.005253129021	0	0.0001029103557	0.003598094363	0.00484988183	0	0	0	0	0	0	0	0	0
900233_Ca-105-LX_skin_case-nonlesional	0	0.2390226914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06071327506	0	0	0	0	0	0	0.01336675606	0.006974063768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3438251236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06164999463	0	0	0.02687440013	0	0	0	0	0	0.156585475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002391365607	0	0.0525822038	0	0.03601465083	0	0	0	0
900061_Ca-014-LB_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0.03481688487	0	0	0	0	0	0	0	0	0	0	0	0	0.1166657413	0	0	0	0	0	0	0.1613365187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009482225828	0	0	0	0	0.008037318891	0	0	0	0	0	0	0	0	0.01261325391	0	0	0	0	0	0	0.2499337352	0	0	0	0.03001189365	0	0	0	0	0	0.0119748844	0	0	0	0	0.01142629725	0	0.01485144151	0.01302537881	0	0.006479792262	0	0	0	0	0	0.1118737939	0	0	0	0	0	0	0	0.08120578346	0	0.02763294267	0	0.05187734203	0	0	0.04675477133	0
