	Co004LNPN_Co-004-LN_nasal_control-anterior	900242_Co-101-AN_nasal_control-anterior	Co005SNPN_Co-005-SN_nasal_control-anterior	900244_Co-102-LD_nasal_control-anterior	900138_Co-011-SF_nasal_control-anterior	900246_Co-103-MM_nasal_control-anterior	900140_Co-012-ON_nasal_control-anterior	900248_Co-104-IV_nasal_control-anterior	900250_Co-105-IV_nasal_control-anterior	900142_Co-013-AY_nasal_control-anterior	900252_Co-106-AB_nasal_control-anterior	900146_Co-014-TN_nasal_control-anterior	900254_Co-107-TG_nasal_control-anterior	900144_Co-015-OJ_nasal_control-anterior	900264_Co-108-OG_nasal_control-anterior	900541_Co-026-LT_nasal_control-anterior	900365_Co-138-AT_nasal_control-anterior	900543_Co-027-IS_nasal_control-anterior	900267_Co-109-AG_nasal_control-anterior	900545_Co-028-UV_nasal_control-anterior	900269_Co-110-SW_nasal_control-anterior	900547_Co-029-YL_nasal_control-anterior	900266_Co-111-AM_nasal_control-anterior	900549_Co-030-AL_nasal_control-anterior	900272_Co-112-SN_nasal_control-anterior	900280_Co-113-MM_nasal_control-anterior	900551_Co-031-LM_nasal_control-anterior	900284_Co-114-IG_nasal_control-anterior	900553_Co-032-AR_nasal_control-anterior	900282_Co-115-SG_nasal_control-anterior	900561_Co-033-LN_nasal_control-anterior	900286_Co-116-MR_nasal_control-anterior	900563_Co-034-AS_nasal_control-anterior	900288_Co-117-TG_nasal_control-anterior	900599_Co-036-OM_nasal_control-anterior	900290_Co-118-MG_nasal_control-anterior	900597_Co-037-LM_nasal_control-anterior	900292_Co-119-MG_nasal_control-anterior	900601_Co-038-AG_nasal_control-anterior	900312_Co-120-MM_nasal_control-anterior	900603_Co-039-KG_nasal_control-anterior	900607_Co-040-ST_nasal_control-anterior	900314_Co-121-MM_nasal_control-anterior	900605_Co-041-LC_nasal_control-anterior	900316_Co-122-IS_nasal_control-anterior	900609_Co-042-LN_nasal_control-anterior	900614_Co-043-ZS_nasal_control-anterior	900320_Co-124-UM_nasal_control-anterior	900351_Co-133-KT_nasal_control-anterior	900618_Co-044-KM_nasal_control-anterior	900322_Co-125-MM_nasal_control-anterior	900616_Co-045-OM_nasal_control-anterior	900324_Co-126-ID_nasal_control-anterior	900620_Co-046-KL_nasal_control-anterior	900326_Co-127-MB_nasal_control-anterior	900628_Co-047-LV_nasal_control-anterior	900328a_Co-128-IV_nasal_control-anterior	900632_Co-049-LJ_nasal_control-anterior	900345_Co-130-MM_nasal_control-anterior	900634_Co-050-AH_nasal_control-anterior	900347_Co-131-AM_nasal_control-anterior	900349_Co-132-IM_nasal_control-anterior	900361_Co-137-AM_nasal_control-anterior	900353_Co-134-KK_nasal_control-anterior	900375_Co-144-LM_nasal_control-anterior	900377_Co-145-HN_nasal_control-anterior	900357_Co-135-LT_nasal_control-anterior	900359_Co-136-SM_nasal_control-anterior	900363_Co-139-MP_nasal_control-anterior	900369_Co-141-IG_nasal_control-anterior	900371_Co-142-IP_nasal_control-anterior	900373_Co-143-AN_nasal_control-anterior	900481_Co-146-LK_nasal_control-anterior	900367_Co-140-IM_nasal_control-anterior	900381_Co-146-LK_nasal_control-anterior	900379_Co-147-SV_nasal_control-anterior	900383_Co-148-IM_nasal_control-anterior	900385_Co-149-LM_nasal_control-anterior	Co002MPPN_Co-002-MP_nasal_control-anterior	Co001SMPN_Co-001-SM_nasal_control-anterior	Co003LTPN_Co-003-LT_nasal_control-anterior	900318_Co-123-LZ_nasal_control-anterior	900387_Co-150-LN_nasal_control-anterior	900136_Co-016-CB_nasal_control-anterior	900389_Co-151-AN_nasal_control-anterior	900391_Co-152-AF_nasal_control-anterior	9003912_Co-152-AF_nasal_control-anterior	900393_Co-153-YM_nasal_control-anterior	9003932_Co-153-YM_nasal_control-anterior	Unknown
Co004LNNL_Co-004-LN_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06375077246	0.04924653601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09186619292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7951364986
900241_Co-101-AN_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08329028245	0	0	0	0	0	0.04182072705	0	0	0	0.04155565717	0	0	0.04560345313	0	0.06990355118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717826329
Co005SNNL_Co-005-SN_skin_control-nonlesional	1.83E-06	7.06E-11	5.88E-11	3.33E-14	0	0.09286622677	0	0.0002393567839	6.42E-07	2.69E-07	0	0.0008445710531	7.53E-07	1.07E-09	3.61E-22	9.20E-05	0.007669010867	1.81E-22	5.54E-22	2.51E-06	3.69E-14	5.39E-15	7.27E-07	2.49E-14	8.34E-08	1.18E-22	5.77E-10	1.13E-14	2.47E-22	4.34E-22	1.17E-14	0.0007773513266	3.73E-14	2.62E-06	4.71E-24	0.0006840902388	1.27E-15	0.02021730527	2.98E-14	0	0.0006675758587	0.06825432139	0.0001510935912	0	0	4.25E-07	0	2.17E-14	0.0005520922158	1.33E-09	6.07E-10	0	1.66E-10	0.07913934127	6.47E-10	0	3.49E-22	0.0006490623337	0.1666666667	7.91E-23	2.22E-10	0.0008803101113	4.21E-22	0	3.11E-22	5.08E-23	0.05020663977	3.25E-15	0	1.18E-09	3.01E-14	3.28E-22	6.90E-07	0.01547715164	3.72E-10	0	1.76E-22	1.83E-14	0.0001187601349	0	1.09E-14	1.12E-09	0	3.96E-14	1.01E-09	1.12E-09	2.53E-06	0	5.62E-22	0.4938339493
900243_Co-102-LD_skin_control-nonlesional	0	0	0.004182176382	0.000555024799	0.301535481	0.0008393221843	0	0.003428774421	0.0008036637353	0.01351907764	0	0.003278561841	0.00673667472	0	0	0.0008640934334	0.000726228387	0.0007682600889	0.004601436337	0	0.002741657511	0	0.01532147303	0	0	0.0001091763464	0.000122186429	0.0005837280582	0	0	0.0007146757933	0	0.0002165308237	0.009825818073	0	0	0.004201503468	0	0	0	0	0	0	0.2551904783	0	0	0	0.0009490741471	0.0002776416783	0	0	0	0.009460373464	0	0	0.01340750415	0	0	0.01602163862	0.001784841627	0.004270980105	0.005111772683	0.01873771072	0	0	0.00510709343	0	0.009338404552	0	0.00835963806	0.008428970502	7.80E-05	0	0	0	0.06192765311	0	0.004509351467	0.0001288467058	0	0.001334213129	0.001555336265	0	0.005226432243	0	0	0.003178408789	0.1896424866	0.0002975896943	0
900137_Co-011-SF_skin_control-nonlesional	0	0	0	0	0.1948310284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001913265633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4176330925	0	0	0	0	0	0	0	0	0	0	0	0.03686239242	0	0	0.1839354302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07372701789	0	0	0	0	0	0	0	0	0	0	0	0.09109777297	0	0
900245_Co-103-MM_skin_control-nonlesional	0	0	0	0	0.3398019679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01109190545	0	0.01218660142	0	0	0	0	0	0	0	0	0	0.01086290166	0	0	0	0.02944235127	0	0	0	0.05323327801	0	0	0	0.0468204155	0	0	0.2332796398	0.02751688857	0	0	0.009374492158	0	0	0	0	0	0	0	0	0	0	0	0.007252689624	0	0.01433987705	0	0	0.09513613929	0	0	0	0	0	0	0	0	0	0	0	0.1096608523	0	0
900139_Co-012-ON_skin_control-nonlesional	0	0	0	0	0.09884719414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003805945973	0	0	0	0	0	0	0	0	0	0	0	0.002133116705	0.001417002585	0	0	0.03303572941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3956883877	0	0	0	0.006556743918	0	0.1174045287	0	0	0	0.02601865097	0	0	0	0	0.05752786048	0.1601099227	0.009577711532	0	0	0	0	0	0	0	0	0	0	0	0.09130255655	0	0
900247_Co-104-IV_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1392510529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04697507201	0	0	0.02571918083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07648174191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7115729524
900249_Co-105-IV_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02400475259	0	0	0.0186693134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2278992006	0	0	0.05338066466	0	0	0	0	0	0	0	0	0	0.1666666667	0	0	0	0	0	0	0	0	0	0	0.009379402097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
900141_Co-013-AY_skin_control-nonlesional	0	0	0	0	0.1380044286	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04412253729	0	0.005302773598	0	0	0	0	0	0	0	0	0	0.008453635851	0	0	0	0	0	0	0	0	0	0	0	0	0.02168729579	0	0	0	0	0	0	0	0	0	0	0	0.1276636145	0.07651090523	0	0.008745319694	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.005124072644	0	0.2650106992	0	0	0	0	0	0	0	0	0	0.07936655748	0	0.0200081601	0	0
