	Co004LNNL_Co-004-LN_skin_control-nonlesional	900241_Co-101-AN_skin_control-nonlesional	Co005SNNL_Co-005-SN_skin_control-nonlesional	900243_Co-102-LD_skin_control-nonlesional	900137_Co-011-SF_skin_control-nonlesional	900245_Co-103-MM_skin_control-nonlesional	900139_Co-012-ON_skin_control-nonlesional	900247_Co-104-IV_skin_control-nonlesional	900249_Co-105-IV_skin_control-nonlesional	900141_Co-013-AY_skin_control-nonlesional	900251_Co-106-AB_skin_control-nonlesional	900145_Co-014-TN_skin_control-nonlesional	900253_Co-107-TG_skin_control-nonlesional	900143_Co-015-OJ_skin_control-nonlesional	900263_Co-108-OG_skin_control-nonlesional	900540_Co-026-LT_skin_control-nonlesional	900364_Co-138-AT_skin_control-nonlesional	900265_Co-109-AG_skin_control-nonlesional	900542_Co-027-IS_skin_control-nonlesional	900544_Co-028-UV_skin_control-nonlesional	900268_Co-110-SW_skin_control-nonlesional	900546_Co-029-YL_skin_control-nonlesional	900270_Co-111-AM_skin_control-nonlesional	900548_Co-030-AL_skin_control-nonlesional	900271_Co-112-SN_skin_control-nonlesional	900279_Co-113-MM_skin_control-nonlesional	900550_Co-031-LM_skin_control-nonlesional	900283_Co-114-IG_skin_control-nonlesional	900552_Co-032-AR_skin_control-nonlesional	900281_Co-115-SG_skin_control-nonlesional	900560_Co-033-LN_skin_control-nonlesional	900285_Co-116-MR_skin_control-nonlesional	900562_Co-034-AS_skin_control-nonlesional	900287_Co-117-TG_skin_control-nonlesional	900598_Co-036-OM_skin_control-nonlesional	900289_Co-118-MG_skin_control-nonlesional	900596_Co-037-LM_skin_control-nonlesional	900291_Co-119-MG_skin_control-nonlesional	900600_Co-038-AG_skin_control-nonlesional	900311_Co-120-MM_skin_control-nonlesional	900602_Co-039-KG_skin_control-nonlesional	900606_Co-040-ST_skin_control-nonlesional	900313_Co-121-MM_skin_control-nonlesional	900604_Co-041-LC_skin_control-nonlesional	900315_Co-122-IS_skin_control-nonlesional	900608_Co-042-LN_skin_control-nonlesional	900613_Co-043-ZS_skin_control-nonlesional	900319_Co-124-UM_skin_control-nonlesional	900350_Co-133-KT_skin_control-nonlesional	900617_Co-044-KM_skin_control-nonlesional	900321_Co-125-MM_skin_control-nonlesional	900615_Co-045-OM_skin_control-nonlesional	900323_Co-126-ID_skin_control-nonlesional	900619_Co-046-KL_skin_control-nonlesional	900325_Co-127-MB_skin_control-nonlesional	900627_Co-047-LV_skin_control-nonlesional	900327_Co-128-IV_skin_control-nonlesional	900343_Co-129-IS_skin_control-nonlesional	900631_Co-049-LJ_skin_control-nonlesional	900344_Co-130-MM_skin_control-nonlesional	900633_Co-050-AH_skin_control-nonlesional	900346_Co-131-AM_skin_control-nonlesional	900150_Co-016-CB_skin_control-nonlesional	900348_Co-132-IM_skin_control-nonlesional	900360_Co-137-AM_skin_control-nonlesional	900352_Co-134-KK_skin_control-nonlesional	900390_Co-152-AF_skin_control-nonlesional	900374_Co-144-LM_skin_control-nonlesional	900376_Co-145-HN_skin_control-nonlesional	900356_Co-135-LT_skin_control-nonlesional	900358_Co-136-SM_skin_control-nonlesional	900370_Co-142-IP_skin_control-nonlesional	900372_Co-143-AN_skin_control-nonlesional	900366_Co-140-IM_skin_control-nonlesional	900380_Co-146-LK_skin_control-nonlesional	900378_Co-147-SV_skin_control-nonlesional	900382_Co-148-IM_skin_control-nonlesional	900384_Co-149-LM_skin_control-nonlesional	Co001SMNL_Co-001-SM_skin_control-nonlesional	Co003LTNL_Co-003-LT_skin_control-nonlesional	Co002MPNL_Co-002-MP_skin_control-nonlesional	900386_Co-150-LN_skin_control-nonlesional	900317_Co-123-LZ_skin_control-nonlesional	900388_Co-151-AN_skin_control-nonlesional	900135_Co-016-CB_skin_control-nonlesional	900392_Co-153-YM_skin_control-nonlesional	9003922_Co-153-YM_skin_control-nonlesional	Unknown
Co004LNPN_Co-004-LN_nasal_control-anterior	0	0	0	0.0008735182608	0	0	0.008232406825	0	0	0.0002008668722	0.007791259835	0	0.002252980112	0	0.02286255271	0.0168238037	0.001787162393	0	7.43E-05	0.0005384256036	0	0	0	0	0	0.01284470705	0.002110200575	0	0.100540926	0.00811109498	0	0	0	0.002475601853	0	0.003005110065	0	0.01211935805	0	0	0.009844203449	0	0	0	0	0.008316758293	0	0	0.002188446856	0	0.00192033939	0	0	0	0	0.0009557670102	2.33E-05	0.0003153344218	0	0.04663015384	0	0.01395125541	0.00316090313	0	0.002145522731	0	0.0013301876	0.003648852213	0.0003869509561	0	0	0	0	0.003934995663	0	0	0	0	0	0	0.01016811932	0	0	0	0	0	0.003882623005	0.6845520516
900242_Co-101-AN_nasal_control-anterior	0	0	0.0675356103	0	0	0.005149457318	0.03537554429	0	0	0	0.001544680269	0	0.006073384092	0.000651534364	0.001725508715	0	0.04017681549	0	0	0	0	0.000390987632	0	0	0	0.0002280605814	0.02642741423	0	0.077188967	0.003235165258	0.004640228695	0.005260904271	0	0.01409180173	0	0.1417323527	0	0.004908803407	0	0	0.01063829243	0	0	0	0	0.03282017069	0.0004971506096	0	0.009109524196	0	0.05338309074	0	0.0152607947	0	0	0.03337969015	0.03141846081	0.01503084034	0	0.05140900441	0	0.08943134285	0	0	0.06302683674	0	0.005270994769	0.078629243	0	0.0004938818848	0	0	0.003594266138	0.03990122239	0	0	4.62E-05	0.0002144144184	0	0.009177284137	0.01480026295	0.0004309139683	0	0.004762230399	0	0	0.0009366898063	0
Co005SNPN_Co-005-SN_nasal_control-anterior	0	0.006126731728	0.01570764991	0	0	0	0.004420141906	0	0	0	0.005988862571	0	0	0	0.04614543413	0.005339478496	0.05798838461	0	0	0.001006844228	0	0.0003287595857	0	0	0	0.002205934915	0.07824543215	0	0	0.008792762823	0	0	6.75E-05	0.005572076404	0	0.01789158719	0	0.001197948069	0	0.001576262837	0.000166722516	0	0	0	0.005825990384	0.0005312233669	0.01727109829	0.002237743772	0	0	0.01145853601	0	0.001217024356	0	0	0	0.2425245833	0.008054624571	0	0.2036976074	0	0	0.001374776636	0	0.0004591748045	0	0.0001580241888	0.01977145959	0.00801496085	0	0	0	0.001918413483	0.1373219404	0	0.0009360160786	0	0.007502216584	0	0	0.001020265734	0	0	0	0.001889568004	0	0.06804626537	0
900244_Co-102-LD_nasal_control-anterior	0	0	0.001905699202	0.08049424806	0	0.003699091047	0.03687499712	0	0	0.00165659713	0.01033989744	0	2.07E-05	0	0.09407552586	0.01234998975	0.1203437468	0.0003818255622	0	0	0	0	0	0	0	0.001519158102	0.0161058037	0	0	0	0	0	0	0.005236440157	0	0.02307694307	0.0008080330298	0.003020063688	0	0	0.001596752249	0	0	0	0	0.1478988593	0.007874395692	0	0	0	0.004490046865	0	0	0	0.001244132279	0	0.002647801354	0.001103065232	0	0.1340551138	0	0	0	0	0.04898819745	0	0.000927579455	0	0.002236256458	0	0	0	0.1	0.01561998391	0	0	0	0	0	0	0.01543499133	0	0	0	0.007496433801	0	0.09647767213	0
900138_Co-011-SF_nasal_control-anterior	0	0.000785980765	0	0.01030693275	0.0609860785	0.006064279134	0.0005636903065	0.001235544067	0.0007718088299	0.008016531618	0.001733505809	0.0001351215133	0.0009420423182	0.01581213533	0.001220869333	0.01673862307	0	0.0001235844016	0.01115832002	0.05637832053	0.03349163164	0.01655842816	0.01274083409	0.0005300795622	0.01349808209	0.003215516648	0.0002090140168	0.01003148372	0.03132806088	0.006956919026	0.002288522549	0.001586203317	0.004166154933	0.0006269893955	0.07136781309	0.001794568541	0.003421977067	0.007251357248	0.001058808717	0.01780077415	0	0.06507493712	0.03479465027	0.0003686993485	0	0.0005537970747	0.004580785659	0.001132557285	0.03050421719	0.07648612808	0.0002973020016	0.04728496026	0.0009879033774	0.004526047767	0.0008688996694	0	0	3.81E-05	0.003116182067	0	0.005008024998	0	0.04848496194	0.02316239303	0.001529930566	0.0008383292916	0	0	0.006206399975	0	0	0.01733678159	0.007122019012	0	0.02795707309	0	0.02340033519	0.0004816690548	0.01045968984	0	0.01616854674	0.01085598377	0.0551209779	0	0.003118811005	0.03923628444	0	0
900246_Co-103-MM_nasal_control-anterior	0	0	0.002380701342	0.01964279618	0	0.001986552695	0.007860735155	0	0.01016331267	0.0001785670027	0.008883267929	0	0	0	0.03767998708	0.001518224452	0.07915622407	0.002701850904	0	0.006498250144	0	0.01129219216	0	0	0	0.04387130957	0.01670687162	0.01949651714	0	0	0	0.002728382622	0.001194411616	0.05003553644	0	0.003952784915	0	0.01024930839	0	0	0.04901859243	0	0	0	0	0	0.00311090261	0	0.02615317245	0	0.1177903687	0	0	0	0	0	0.00670872094	0.0002808995348	0	0.2666128823	0	0	0.01904056635	0	0.005271004577	0	0	0.004426507562	0.0153813406	0	0	0	0.01780701238	0.04113546002	0	0	0	0.008423448307	0	0	0	0	0	0	0	0	0.08066133711	0
900140_Co-012-ON_nasal_control-anterior	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01020855828	0.001189713665	0.002636162291	0	0	0	0.0006014499108	0	0	0	0	0.0005297626161	0.008405354329	0	0.1274158051	0.003963139785	0	0	0.00771443732	0	0	0.001583976709	0	0.004398895001	0	0	0	0	0	0.00407932881	0	4.94E-06	0.002712534082	0	0	0	0	0	0	0	0	0.2251781306	0.01195414227	0	0	0.04879420936	0	0.4304991157	0	0	0.003446967954	0	0.000747554483	0	0.003935822389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
900248_Co-104-IV_nasal_control-anterior	0	0	0.007651227295	0	0	0	0.03079050981	0	0.009076230943	0	0	0	0.02922119417	0	0.07254832439	0	0.02080939189	0.01908937102	0	0	0	0	0	0	0	0	0.0001261968979	0	0	0	0	0.02071085925	0	4.62E-05	0	0.098284475	0	0	0	0	0.02164371181	0	0	0	0.00199997851	0.02903386026	0.04667014673	0.002663834446	0.0005170252757	0	0.06459213971	0	0.001754882658	0	0	0	0.002484403152	0.03689850405	0	0.2164504022	0	0	0	0	0.001365054171	0	0.002900192111	0.008247156274	0.004277764164	0	0	0	0.001540990259	0.04159349242	0	0.002277079535	0	0.01068340125	0	0	0.003841112497	0	0	0	0.0005019000208	0	0.1897090359	0
900250_Co-105-IV_nasal_control-anterior	0	0	0.00490541292	0.01609600488	0	0.005333434288	0.001680701011	0	0	0.004312420879	0.009797458586	0	0.004615106865	0	0.001881479993	0.001516864723	0.01809799006	0.003073106192	0	0	0	0.005045564913	0	0	0	0.000948203918	0.003574285533	0.01604667212	0.001433909073	0	0	0.003121905704	7.38E-05	0.005038857046	0	0.003686564505	0	0.009408355943	0	0	0.01480360334	0	0	0.006264307409	0	0.03587805905	0.0006875346501	0	0.006905763136	0.001101308315	0.01712114378	0	0.0008064552104	0	0	0.04648804802	0.1726759562	0.03994348428	0	0.2337950605	0	0.1602721406	0.007552275059	0	0.000202960341	0	0	0.07110799651	0	0	0	0	0	0.03325264097	0	0	0	0	0	0	0.0110733016	0	0	0	0.001299926587	0	0.01907992674	0
900142_Co-013-AY_nasal_control-anterior	0	0	0.01517922581	0	0	0	0	0	0	0	0.00959472657	0	0.001020010923	0	0.07147812186	0.04618736699	0.01375776042	0.00701448556	0	0.000364056908	0	0.003328536419	0	0	0	0	0.005153966759	0	0	0	0	0.003931847719	0.003686460363	0.01165074021	0	0.06650992783	0	0.003771779647	0	0.01580357009	0	0	0	0	0	0.002216931167	0.006309342458	0.2068585069	0.003911303707	0	0.009586271832	0	0	0	0.002851724966	0	0.08604176295	0.02353782817	0	0.08560252453	0	0.003045896653	0	0	0.07702872372	0	0.01766111222	0.00164057609	0.003037431822	0	0	0	0.003780001383	0.04351498652	0	0.01706436888	0	0.02139133735	0	0	0.001921748985	0	0	0	0	0	0.1045650356	0
