#sample-id	Env	SourceSink	id
Ca009ST_L	Ca-009-ST_skin	Sink	0
900221	Ca-101-ID_skin	Sink	1
Ca010EB_L	Ca-010-EB_skin	Sink	2
900460	Ca-146-SM_skin	Sink	3
900051	Ca-011-LQ_skin	Sink	4
900226	Ca-103-BT_skin	Sink	5
900057	Ca-013-NN_skin	Sink	6
900229	Ca-104-SB_skin	Sink	7
Ca009ST_NL	Ca-009-ST_skin	Sink	8
900222	Ca-101-ID_skin	Sink	9
Ca010EB_NL	Ca-010-EB_skin	Sink	10
900461	Ca-146-SM_skin	Sink	11
900052	Ca-011-LQ_skin	Sink	12
900227	Ca-103-BT_skin	Sink	13
900058	Ca-013-NN_skin	Sink	14
900230	Ca-104-SB_skin	Sink	15
Ca009ST_PN	Ca-009-ST_nasal	Source	1
900223	Ca-101-ID_nasal	Source	1
Ca010EB_PN	Ca-010-EB_nasal	Source	1
900462	Ca-146-SM_nasal	Source	1
900053	Ca-011-LQ_nasal	Source	1
900228	Ca-103-BT_nasal	Source	1
900059	Ca-013-NN_nasal	Source	1
900231	Ca-104-SB_nasal	Source	1
Co004LN_NL	Co-004-LN_skin	Sink	16
900241	Co-101-AN_skin	Sink	17
Co005SN_NL	Co-005-SN_skin	Sink	18
900243	Co-102-LD_skin	Sink	19
900137	Co-011-SF_skin	Sink	20
900245	Co-103-MM_skin	Sink	21
900139	Co-012-ON_skin	Sink	22
900247	Co-104-IV_skin	Sink	23
Co004LN_PN	Co-004-LN_nasal	Source	1
900242	Co-101-AN_nasal	Source	1
Co005SN_PN	Co-005-SN_nasal	Source	1
900244	Co-102-LD_nasal	Source	1
900138	Co-011-SF_nasal	Source	1
900246	Co-103-MM_nasal	Source	1
900140	Co-012-ON_nasal	Source	1
900248	Co-104-IV_nasal	Source	1
900232	Ca-105-LX_skin	Sink	24
900060	Ca-014-LB_skin	Sink	25
900235	Ca-106-NM_skin	Sink	26
900063	Ca-015-AM_skin	Sink	27
900238	Ca-107-BM_skin	Sink	28
900066	Ca-016-YT_skin	Sink	29
900255	Ca-108-EJ_skin	Sink	30
900070	Ca-017-OM_skin	Sink	31
900233	Ca-105-LX_skin	Sink	32
900061	Ca-014-LB_skin	Sink	33
900236	Ca-106-NM_skin	Sink	34
900064	Ca-015-AM_skin	Sink	35
900239	Ca-107-BM_skin	Sink	36
900068	Ca-016-YT_skin	Sink	37
900256	Ca-108-EJ_skin	Sink	38
900071	Ca-017-OM_skin	Sink	39
900234	Ca-105-LX_nasal	Source	1
900062	Ca-014-LB_nasal	Source	1
900237	Ca-106-NM_nasal	Source	1
900065	Ca-015-AM_nasal	Source	1
900240	Ca-107-BM_nasal	Source	1
900069	Ca-016-YT_nasal	Source	1
900257	Ca-108-EJ_nasal	Source	1
900072	Ca-017-OM_nasal	Source	1
900249	Co-105-IV_skin	Sink	40
900141	Co-013-AY_skin	Sink	41
900251	Co-106-AB_skin	Sink	42
900145	Co-014-TN_skin	Sink	43
900253	Co-107-TG_skin	Sink	44
900143	Co-015-OJ_skin	Sink	45
900263	Co-108-OG_skin	Sink	46
900540	Co-026-LT_skin	Sink	47
900250	Co-105-IV_nasal	Source	1
900142	Co-013-AY_nasal	Source	1
900252	Co-106-AB_nasal	Source	1
900146	Co-014-TN_nasal	Source	1
900254	Co-107-TG_nasal	Source	1
900144	Co-015-OJ_nasal	Source	1
900264	Co-108-OG_nasal	Source	1
900541	Co-026-LT_nasal	Source	1
900476	Ca-151-QR_skin	Sink	48
900477	Ca-151-QR_skin	Sink	49
900364	Co-138-AT_skin	Sink	50
900365	Co-138-AT_nasal	Source	1
900482	Ca-153-MN_skin	Sink	51
900483	Ca-153-MN_skin	Sink	52
900484	Ca-153-MN_nasal	Source	1
900073	Ca-018-AS_skin	Sink	53
900087	Ca-019-EC_skin	Sink	54
900261	Ca-110-LN_skin	Sink	55
900081	Ca-020-AZ_skin	Sink	56
900276	Ca-111-IN_skin	Sink	57
900084	Ca-021-IM_skin	Sink	58
900299	Ca-112-AM_skin	Sink	59
900074	Ca-018-AS_skin	Sink	60
900258	Ca-109-BJ_skin	Sink	61
900079	Ca-019-EC_skin	Sink	62
900262	Ca-110-LN_skin	Sink	63
900082	Ca-020-AZ_skin	Sink	64
900277	Ca-111-IN_skin	Sink	65
900085	Ca-021-IM_skin	Sink	66
900300	Ca-112-AM_skin	Sink	67
900075	Ca-018-AS_nasal	Source	1
900265	Co-109-AG_skin	Sink	68
900080	Ca-019-EC_nasal	Source	1
900275	Ca-110-LN_nasal	Source	1
900083	Ca-020-AZ_nasal	Source	1
900278	Ca-111-IN_nasal	Source	1
900086	Ca-021-IM_nasal	Source	1
900301	Ca-112-AM_nasal	Source	1
900542	Co-027-IS_skin	Sink	69
900259	Ca-109-BJ_skin	Sink	70
900544	Co-028-UV_skin	Sink	71
900268	Co-110-SW_skin	Sink	72
900546	Co-029-YL_skin	Sink	73
900270	Co-111-AM_skin	Sink	74
900548	Co-030-AL_skin	Sink	75
900271	Co-112-SN_skin	Sink	76
900543	Co-027-IS_nasal	Source	1
900267	Co-109-AG_nasal	Source	1
900545	Co-028-UV_nasal	Source	1
900269	Co-110-SW_nasal	Source	1
900547	Co-029-YL_nasal	Source	1
900266	Co-111-AM_nasal	Source	1
900549	Co-030-AL_nasal	Source	1
900272	Co-112-SN_nasal	Source	1
900293	Ca-113-MN_skin	Sink	77
900078	Ca-022-MS_skin	Sink	78
900297	Ca-114-QT_skin	Sink	79
900090	Ca-023-EJ_skin	Sink	80
900302	Ca-115-OM_skin	Sink	81
900093	Ca-024-ZM_skin	Sink	82
900305	Ca-116-AN_skin	Sink	83
900096	Ca-025-AC_skin	Sink	84
900294	Ca-113-MN_skin	Sink	85
900088	Ca-022-MS_skin	Sink	86
900296	Ca-114-QT_skin	Sink	87
900091	Ca-023-EJ_skin	Sink	88
900303	Ca-115-OM_skin	Sink	89
900094	Ca-024-ZM_skin	Sink	90
900306	Ca-116-AN_skin	Sink	91
900097	Ca-025-AC_skin	Sink	92
900295	Ca-113-MN_nasal	Source	1
900089	Ca-022-MS_nasal	Source	1
900298	Ca-114-QT_nasal	Source	1
900092	Ca-023-EJ_nasal	Source	1
900304	Ca-115-OM_nasal	Source	1
900095	Ca-024-ZM_nasal	Source	1
900307	Ca-116-AN_nasal	Source	1
900098	Ca-025-AC_nasal	Source	1
900279	Co-113-MM_skin	Sink	93
900550	Co-031-LM_skin	Sink	94
900283	Co-114-IG_skin	Sink	95
900552	Co-032-AR_skin	Sink	96
900281	Co-115-SG_skin	Sink	97
900560	Co-033-LN_skin	Sink	98
900285	Co-116-MR_skin	Sink	99
900562	Co-034-AS_skin	Sink	100
900280	Co-113-MM_nasal	Source	1
900551	Co-031-LM_nasal	Source	1
900284	Co-114-IG_nasal	Source	1
900553	Co-032-AR_nasal	Source	1
900282	Co-115-SG_nasal	Source	1
900561	Co-033-LN_nasal	Source	1
900286	Co-116-MR_nasal	Source	1
900563	Co-034-AS_nasal	Source	1
900485	Ca-154-OS_skin	Sink	101
900486	Ca-154-OS_skin	Sink	102
900487	Ca-154-OS_nasal	Source	1
900224	Ca-102-IR_skin	Sink	103
900225	Ca-102-IR_skin	Sink	104
