	WHB11423	WHB11426	WHB11407	WHB11726	WHB11421	WHB11706	WHB11735	WHB11425	MBT520	WHB11730	WHB11382	WHB11465	WHB11749	WHB11408	WHB11689	WHB11690	WHB11684	WHB11688	WHB11683	WHB11691	WHB11694	WHB11676	WHB11675	WHB11747	WHB11463	WHB11462	WHB11673	WHB11674	WHB11692	WHB11695	WHB11697	WHB11409	WHB11696	WHB11693	WHB11682	WHB11680	WHB11681	WHB11677	WHB11679	WHB11678	WHB11721	WHB11790	MBT462	WHB11387	WHB11385	WHB11389	WHB11390	WHB11386	WHB11388	WHB11428	WHB11758	WHB11461	WHB11460	WHB11457	WHB11456	WHB11458	WHB11459	WHB11410	WHB11411	WHB11380	WHB11381	WHB11788	WHB11384	WHB11379	WHB11383	WHB11427	WHB11424	WHB11422	WHB11722	WHB11725	WHB11724	WHB11723	WHB11698	WHB11439	WHB11751	WHB11729	WHB11727	WHB11737	WHB11738	WHB11736	WHB11728	WHB11705	WHB11704	WHB11709	WHB11707	WHB11708	WHB11393	WHB11395	WHB11392	MBT307	WHB11391	WHB11394	WHB11400	WHB11794	WHB11764	WHB11710	WHB11711	WHB11712	WHB11714	WHB11713	WHB11720	WHB11781	MBT305	WHB11759	MBT312	WHB11406	WHB11405	WHB11403	WHB11404	WHB11402	WHB11401	WHB11452	WHB11453	WHB11454	WHB11455	WHB11432	WHB11451	WHB11433	WHB11429	WHB11430	WHB11431	WHB11450	MBT512	WHB11754	WHB11755	MBT460	WHB11746	WHB11745	WHB11756	WHB11753	WHB11757	WHB11760	WHB11791	WHB11762	WHB11761	MBT474	MBT459	WHB11803	WHB11799	WHB11800	WHB11802	WHB11798	WHB11801	WHB11436	WHB11437	WHB11420	WHB11435	WHB11434	WHB11418	WHB11701	WHB11438	WHB11739	WHB11742	WHB11743	WHB11744	WHB11740	WHB11741	WHB11396	WHB11398	WHB11417	WHB11397	WHB11399	WHB11416	WHB11771	WHB11786	WHB11774	MBT310	WHB11773	WHB11769	WHB11772	MBT463	WHB11770	WHB11732	WHB11466	WHB11719	WHB11733	WHB11734	MBT304	WHB11731	WHB11464	WHB11787	WHB11789	WHB11685	MBT276	MBT278	MBT275	MBT274	MBT277	MBT279	MBT306	MBT475	MBT281	MBT526	MBT464	MBT283	MBT298	MBT300	MBT301	MBT302	MBT299	MBT303	WHB11792	MBT295	MBT293	MBT294	MBT292	MBT296	MBT297	MBT282	MBT285	MBT280	WHB11795	MBT284	WHB11718	WHB11717	WHB11703	WHB11716	WHB11702	MBT513	WHB11715	MBT425	MBT424	MBT422	MBT426	MBT421	MBT423	WHB11775	WHB11777	WHB11776	WHB11779	WHB11778	MBT521	WHB11780	WHB11748	WHB11699	WHB11750	MBT308	WHB11793	MBT309	WHB11797	WHB11796	WHB11785	MBT272	MBT273	MBT469	WHB11804	WHB11807	MBT517	MBT503	WHB11805	WHB11687	WHB11806	WHB11700	WHB11782	WHB11686	WHB11784	MBT502	MBT479	MBT484	MBT481	MBT480	MBT482	MBT483	MBT418	MBT419	MBT420	MBT415	MBT511	MBT416	MBT501	MBT523	MBT454	MBT417	MBT476	MBT289	MBT288	MBT287	MBT286	MBT291	MBT290	MBT515	WHB11766	MBT473	MBT490	MBT488	MBT489	MBT487	MBT486	MBT485	MBT461	WHB11767	MBT457	WHB11765	MBT527	MBT507	MBT498	MBT509	MBT508	MBT505	MBT506	MBT510	MBT414	MBT413	MBT311	MBT471	MBT496	MBT497	MBT494	MBT495	MBT492	MBT313	MBT458	MBT472	MBT500	MBT504	MBT427	MBT499	MBT455	MBT456	MBT522	MBT518	MBT519	WHB11763	MBT525	MBT524	MBT514	MBT516	WHB11752	MBT470	MBT468	MBT467	MBT465	MBT466	WHB11768	WHB11783
 s__Staphylococcus argensis	0	1.0	0	0	0	2.0	1.0	1.0	0	0	1.0	0	0	0	1.0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	2.0	0	1.0	1.0	0	3.0	0	0	2.0	0	0	0	0	5.0	0	0	0	0	2.0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	1.0	4.0	11.0	0	0	1.0	0	0	8.0	1.0	0	1.0	1.0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	1.0	0	0	1.0	1.0	0	2.0	0	0	0	0	1.0	1.0	0	1.0	4.0	0	3.0	0	0	0	14.0	0	1.0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	7.0	9.0	1.0	5.0	0	1.0	4.0	3.0	0	1.0	0	0	1.0	0	7.0	0	0	0	1.0	1.0	0	0	0	0	1.0	0	1.0	1.0	0	0	0	2.0	0	0	0	2.0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	2.0	0	1.0	1.0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	1.0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0	4.0	2.0	2.0	0	0	0	1.0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	2.0	0	1.0	2.0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	1.0	1.0	0	0	0	2.0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	0	3.0	0	0	0	1.0	2.0	0	0	0	1.0	0	1.0	0	1.0	1.0	3.0	0	1.0	0	0	0	1.0	0	1.0	0	0	0	2.0	0	0	0	1.0	1.0	0	6.0	0	0	0	2.0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	3.0	0	0	2.0	0	0	0
 s__Staphylococcus argenteus	1.0	1.0	3.0	1.0	6.0	1.0	1.0	0	11.0	0	0	1.0	0	20.0	112.0	32.0	7.0	9.0	1.0	2.0	3.0	27.0	12.0	1.0	0	0	1.0	4.0	2.0	14.0	0	3.0	0	0	43.0	49.0	76.0	3.0	4.0	5.0	0	0	3.0	7.0	4.0	95.0	2.0	0	116.0	0	6.0	0	7.0	0	0	0	1.0	3.0	22.0	0	0	11.0	2.0	0	37.0	0	0	0	2.0	2.0	1.0	0	0	0	2.0	4.0	43.0	2.0	3.0	1.0	0	3.0	0	15.0	1.0	1.0	7.0	2.0	8.0	5.0	7.0	0	1.0	0	2.0	41.0	13.0	34.0	0	2.0	2.0	18.0	181.0	5.0	0	1.0	7.0	2.0	1.0	3.0	0	0	1.0	0	1.0	0	0	8.0	10.0	3.0	15.0	0	0	267.0	181.0	0	1.0	0	1.0	9.0	1.0	15.0	1.0	1.0	1.0	31.0	2.0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	1.0	2.0	0	0	1.0	4.0	0	1.0	0	0	0	0	0	0	0	0	1.0	4.0	1.0	0	2.0	0	0	1.0	1.0	0	6.0	1.0	1.0	72.0	0	0	3.0	0	0	2.0	0	13.0	9.0	1.0	7.0	2006.0	9.0	38.0	0	2.0	9.0	83.0	34.0	353.0	54.0	228.0	31.0	1.0	19.0	2.0	1.0	0	0	0	0	2.0	1.0	0	0	1.0	0	3.0	0	1.0	2.0	0	112.0	43.0	52.0	2.0	7.0	9.0	0	0	0	2.0	0	6.0	0	0	0	1.0	7.0	2.0	2.0	5.0	1.0	1.0	2.0	7.0	88.0	0	0	0	3.0	0	1.0	0	0	1.0	0	1.0	4.0	3.0	271.0	0	1.0	8.0	6.0	28.0	31.0	58.0	459.0	2.0	3.0	1.0	0	5.0	7.0	7.0	4.0	39.0	7.0	0	4.0	0	2.0	5.0	66.0	2.0	0	0	0	4.0	1.0	2.0	0	0	2.0	3.0	3.0	2.0	5.0	1.0	0	0	2.0	66.0	70.0	0	5.0	114.0	8.0	32.0	6.0	55.0	0	0	23.0	1.0	0	2.0	21.0	0	3.0	8.0	3.0	2.0	0	0	0	2.0	1.0	0	34.0	49.0	0	5.0	0	2.0	0
 s__Staphylococcus arlettae	0	0	2.0	0	0	1.0	0	0	1.0	0	0	0	0	26.0	3.0	0	0	0	0	2.0	0	0	1.0	0	1.0	0	1.0	1.0	1.0	1.0	1.0	18.0	1.0	0	2.0	1.0	1.0	0	0	4.0	0	1.0	1.0	0	0	2.0	0	0	2.0	0	3.0	0	0	0	0	0	1.0	15.0	1.0	0	0	2.0	0	0	10.0	0	2.0	0	0	1.0	0	0	0	0	1.0	1.0	0	1.0	0	7.0	0	0	0	2.0	0	1.0	1.0	0	1.0	0	0	0	1.0	4.0	1.0	10.0	0	0	0	0	0	4.0	0	4.0	0	0	3.0	1.0	3.0	1.0	1.0	0	0	1.0	1.0	0	1.0	7.0	1.0	0	6.0	0	0	3.0	2.0	0	1.0	0	0	0	0	2.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	1.0	0	4.0	1.0	0	0	1.0	0	0	3.0	2.0	1.0	0	4.0	0	0	0	0	1.0	2.0	4.0	1.0	1.0	0	0	4.0	2.0	4.0	5.0	5.0	4.0	0	1.0	1.0	1.0	0	0	2.0	0	0	0	0	0	0	0	1.0	0	0	4.0	0	1.0	2.0	0	1.0	0	2.0	0	0	1.0	2.0	2.0	0	4.0	1.0	0	0	0	1.0	0	4.0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	3.0	2.0	0	0	3.0	0	0	3.0	0	0	0	0	0	0	0	0	0	4.0	2.0	4.0	6.0	0	0	0	0	0	0	3.0	0	0	1.0	0	0	0	1.0	1.0	3.0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	3.0	0	0	2.0	1.0	2.0	0	0	0	0	0	0	2.0	0	0	2.0	0	1.0	0
 s__Staphylococcus aureus	2.0	12.0	47.0	11.0	9.0	4.0	5.0	2.0	7.0	10.0	0	1.0	2.0	297.0	1757.0	596.0	50.0	163.0	17.0	6.0	50.0	264.0	112.0	1.0	12.0	3.0	12.0	27.0	5.0	85.0	5.0	15.0	15.0	53.0	623.0	702.0	939.0	6.0	33.0	3.0	11.0	2.0	4.0	6.0	6.0	14.0	3.0	4.0	20.0	2.0	14.0	1.0	136.0	2.0	9.0	1.0	3.0	5.0	7.0	0	0	5.0	14.0	0	9.0	0	0	0	23.0	52.0	5.0	1.0	4.0	0	2.0	4.0	685.0	26.0	2.0	4.0	7.0	7.0	2.0	214.0	9.0	16.0	54.0	14.0	57.0	29.0	1.0	1.0	0	1.0	3.0	412.0	154.0	568.0	8.0	10.0	26.0	8.0	179.0	6.0	0	25.0	66.0	2.0	12.0	4.0	0	1.0	2.0	8.0	12.0	1.0	3.0	10.0	8.0	9.0	7.0	1.0	6.0	4456.0	2761.0	1.0	2.0	0	9.0	113.0	18.0	3.0	0	0	0	419.0	1.0	1.0	0	0	1.0	0	1.0	2.0	5.0	0	0	0	2.0	34.0	0	4.0	1.0	0	1.0	1.0	1.0	0	2.0	1.0	3.0	1.0	0	6.0	0	39.0	5.0	4.0	3.0	1.0	2.0	2.0	5.0	1.0	25.0	0	1.0	95.0	1.0	1.0	0	0	4.0	1.0	0	92.0	155.0	0	13.0	2920.0	177.0	425.0	0	0	103.0	988.0	428.0	4397.0	799.0	2941.0	323.0	9.0	235.0	12.0	4.0	10.0	1.0	3.0	4.0	26.0	29.0	0	27.0	12.0	13.0	35.0	2.0	5.0	0	1.0	1520.0	564.0	630.0	8.0	105.0	91.0	3.0	0	2.0	2.0	7.0	5.0	1.0	0	0	39.0	49.0	36.0	0	12.0	4.0	3.0	40.0	66.0	1066.0	5.0	4.0	2.0	15.0	0	2.0	1.0	12.0	24.0	0	1.0	54.0	38.0	3054.0	12.0	24.0	58.0	118.0	285.0	390.0	952.0	6159.0	1.0	37.0	3.0	1.0	10.0	33.0	131.0	40.0	560.0	45.0	21.0	1.0	0	1.0	43.0	936.0	7.0	5.0	7.0	5.0	7.0	3.0	0	0	1.0	3.0	1.0	28.0	16.0	11.0	1.0	10.0	2.0	10.0	1089.0	1299.0	5.0	12.0	1205.0	56.0	560.0	29.0	616.0	0	1.0	23.0	7.0	9.0	3.0	42.0	4.0	20.0	3.0	8.0	6.0	1.0	0	1.0	1.0	0	1.0	449.0	318.0	0	4.0	0	3.0	1.0
 s__Staphylococcus auricularis	1.0	0	0	6.0	0	0	5.0	1.0	1.0	1.0	0	4.0	12.0	0	9.0	3.0	0	0	0	0	1.0	16.0	508.0	3.0	0	0	5.0	6.0	0	5.0	0	1.0	0	0	1.0	0	2.0	12.0	2.0	6.0	0	3.0	1.0	3.0	1.0	6.0	5.0	0	2.0	0	5.0	0	6.0	0	5.0	0	3.0	1.0	4.0	0	0	0	0	0	3.0	1.0	0	0	0	2.0	0	1.0	2.0	0	34.0	0	1.0	0	2.0	0	0	0	5.0	0	1.0	1.0	2.0	0	1.0	1.0	1.0	1.0	0	0	0	1.0	0	3.0	0	0	0	2.0	2.0	4.0	0	2.0	0	1.0	1.0	0	0	0	0	0	0	0	0	3.0	1.0	1.0	4.0	0	0	2.0	2.0	1.0	0	0	0	1.0	1.0	0	1.0	0	0	1.0	1.0	0	27.0	2.0	2.0	37.0	6.0	6.0	0	2.0	5.0	1.0	1.0	2.0	4.0	1.0	0	0	0	1.0	2.0	3.0	5.0	1.0	5.0	7.0	1.0	0	3.0	3.0	0	0	1.0	0	4.0	0	5.0	2.0	8.0	4.0	0	3.0	12.0	0	0	0	0	0	0	1.0	3.0	0	1.0	2.0	1.0	1.0	39.0	2.0	0	1.0	1.0	2.0	1.0	1.0	0	1.0	1.0	1.0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	13.0	3.0	0	3.0	1.0	2.0	0	0	0	3.0	2.0	1.0	1.0	1.0	3.0	0	0	2.0	2.0	0	0	0	3.0	4.0	8.0	6.0	4.0	1.0	4.0	4.0	2.0	0	6.0	0	0	0	2.0	1.0	6.0	0	0	2.0	0	0	2.0	3.0	0	0	0	4.0	4.0	0	0	2.0	0	0	1.0	0	0	0	0	2.0	0	3.0	1.0	2.0	2.0	0	0	0	0	2.0	2.0	0	0	3.0	16.0	0	1.0	0	0	0	0	2.0	2.0	0	0	2.0	0	0	0	0	7.0	0	1.0	5.0	0	0	0	2.0	1.0	0	7.0	1.0	4.0	0	0	2.0	1.0	0	1.0	1.0	0	0	0	0	38.0	18.0
 s__Staphylococcus borealis	2.0	3.0	5.0	2.0	0	2.0	1.0	1.0	8.0	0	0	1.0	3.0	2.0	13.0	1.0	3.0	3.0	4.0	3.0	5.0	0	2.0	1.0	8.0	2.0	0	1.0	1.0	6.0	1.0	1.0	3.0	1.0	23.0	4.0	6.0	0	1.0	15.0	0	2.0	2.0	0	2.0	0	18.0	1.0	2.0	0	1.0	0	0	1.0	1.0	0	0	4.0	18.0	1.0	0	0	1.0	2.0	36.0	4.0	2.0	1.0	0	0	1.0	0	1.0	0	4.0	2.0	3.0	5.0	1.0	0	1.0	3.0	0	3.0	1.0	1.0	11.0	0	2.0	1.0	5.0	1.0	1.0	0	1.0	11.0	0	1.0	0	0	1.0	30.0	0	6.0	0	5.0	28.0	1.0	2.0	6.0	0	2.0	3.0	2.0	0	0	5.0	12.0	26.0	3.0	70.0	1.0	2.0	8.0	7.0	0	1.0	0	0	3.0	2.0	2.0	2.0	0	0	5.0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	1.0	0	3.0	1.0	3.0	1.0	0	2.0	0	0	0	3.0	0	0	2.0	0	0	0	2.0	2.0	0	0	0	1.0	1.0	3.0	0	1.0	1.0	1.0	0	0	0	2.0	0	0	0	0	3.0	0	0	2.0	3.0	1.0	1.0	1.0	0	2.0	0	0	5.0	3.0	1.0	4.0	0	0	0	1.0	2.0	1.0	0	0	0	0	1.0	1.0	0	1.0	1.0	0	1.0	4.0	0	7.0	6.0	1.0	5.0	0	4.0	1.0	0	0	3.0	2.0	5.0	2.0	0	0	1.0	0	0	3.0	11.0	2.0	0	0	0	3.0	1.0	0	0	0	1.0	0	0	1.0	3.0	0	1.0	1.0	0	4.0	0	0	1.0	2.0	0	2.0	0	4.0	5.0	1.0	0	3.0	1.0	0	5.0	0	1.0	0	0	8.0	1.0	0	1.0	4.0	12.0	0	3.0	1.0	6.0	1.0	5.0	0	0	1.0	10.0	1.0	0	2.0	4.0	0	0	5.0	1.0	1.0	0	0	1.0	0	0	0	0	0	1.0	49.0	0	0	2.0	15.0	1.0	0	28.0	3.0	5.0	1.0	0	0	2.0	1.0	0	1.0	2.0	0	10.0	0	1.0	1.0
 s__Staphylococcus caledonicus	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	15.0	0	2.0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	1.0	0	2.0	0	0	3.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	1.0	2.0	2.0	1.0	0	0	1.0	0	0	1.0	0	0	0	0	2.0	1.0	1.0	1.0	0	0	1.0	0	1.0	3.0	0	0	0	2.0	0	0	0	0	2.0	0	1.0	0	0	0	4.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	11.0	1.0	58.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	1.0	2.0	0	1.0	0	1.0	6.0	0	0	0	0	0	0	0	0	0	6.0	0	0	2.0	0	0	0	1.0	1.0	0	0	0	1.0	0	0	0	0	0	0	13.0	0	0	0	2.0	0	0	17.0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	5.0	0	0	0
 s__Staphylococcus capitis	1.0	29.0	17.0	9.0	6.0	14.0	5.0	5.0	10.0	6.0	4.0	9.0	17.0	28.0	2576.0	722.0	53.0	132.0	11.0	328.0	362.0	2.0	17.0	5.0	77.0	91.0	51.0	14.0	77.0	230.0	58.0	19.0	409.0	255.0	24.0	3.0	15.0	21.0	6.0	65.0	2.0	21.0	6.0	42.0	27.0	21.0	17.0	21.0	32.0	21.0	68.0	41.0	24.0	17.0	9.0	0	52.0	143.0	23.0	3.0	1.0	5.0	29.0	3.0	17.0	29.0	5.0	1.0	0	20.0	54.0	53.0	8.0	13.0	28.0	44.0	3.0	31.0	7.0	4.0	44.0	19.0	9.0	16.0	46.0	54.0	41.0	55.0	12.0	1.0	195.0	52.0	4.0	2.0	1555.0	38.0	9.0	5.0	25.0	21.0	8.0	13.0	11.0	70.0	2.0	6.0	35.0	10.0	17.0	9.0	1.0	3.0	7.0	9.0	5.0	11.0	15.0	19.0	36.0	40.0	34.0	5.0	40.0	6.0	11.0	5.0	49.0	27.0	1.0	11.0	3.0	47.0	10.0	21.0	23.0	3.0	3.0	25.0	25.0	5.0	24.0	47.0	12.0	9.0	26.0	2.0	10.0	13.0	8.0	31.0	25.0	6.0	10.0	13.0	19.0	22.0	41.0	5.0	15.0	32.0	24.0	10.0	11.0	7.0	5.0	12.0	1.0	58.0	34.0	82.0	10.0	16.0	12.0	10.0	11.0	6.0	2.0	3.0	15.0	25.0	8.0	7.0	12.0	5.0	8.0	7.0	3.0	3.0	15.0	9.0	6.0	0	22.0	2.0	3.0	5.0	3.0	9.0	10.0	7.0	16.0	5.0	21.0	8.0	1.0	14.0	6.0	3.0	0	1.0	2.0	15.0	6.0	19.0	6.0	82.0	6.0	9.0	48.0	6.0	9.0	9.0	8.0	4.0	5.0	7.0	16.0	12.0	12.0	5.0	8.0	14.0	3.0	8.0	5.0	16.0	1.0	3.0	4.0	12.0	7.0	11.0	3.0	3.0	44.0	28.0	5.0	65.0	22.0	8.0	15.0	9.0	18.0	4.0	4.0	17.0	13.0	7.0	3.0	12.0	12.0	5.0	7.0	7.0	4.0	15.0	5.0	63.0	31.0	7.0	24.0	13.0	27.0	6.0	28.0	10.0	14.0	12.0	3.0	0	14.0	11.0	0	7.0	2.0	4.0	1.0	4.0	3.0	14.0	1.0	3.0	4.0	110.0	4.0	3.0	28.0	8.0	7.0	1.0	67.0	30.0	17.0	0	1.0	21.0	3.0	4.0	1.0	3.0	1.0	10.0	20.0	7.0	1.0	2.0	52.0	10.0	2.0	11.0	37.0	2.0	1.0	8.0	23.0	16.0	21.0	15.0	12.0	64.0	1.0	5.0	3.0	19.0	7.0
 s__Staphylococcus caprae	1.0	8.0	4.0	2.0	1.0	6.0	4.0	0	5.0	1.0	0	4.0	3.0	0	62.0	15.0	4.0	1.0	0	6.0	6.0	2.0	30.0	0	4.0	5.0	5.0	3.0	3.0	71.0	2.0	0	5.0	6.0	8.0	5.0	10.0	2.0	0	8.0	1.0	1.0	4.0	12.0	67.0	4.0	2.0	3.0	5.0	1.0	3.0	2.0	1.0	0	2.0	0	1.0	1.0	13.0	0	0	2.0	14.0	1.0	14.0	1.0	0	0	0	1.0	1.0	2.0	1.0	0	1.0	3.0	1.0	1.0	3.0	0	1.0	1.0	2.0	2.0	7.0	3.0	7.0	2.0	0	0	14.0	2.0	0	0	11.0	11.0	2.0	5.0	0	2.0	3.0	9.0	1.0	4.0	0	5.0	20.0	1.0	16.0	54.0	2.0	5.0	7.0	15.0	0	2.0	10.0	5.0	10.0	3.0	14.0	3.0	2.0	2.0	15.0	7.0	0	1.0	0	4.0	0	14.0	0	0	0	1.0	1.0	1.0	2.0	0	0	2.0	1.0	0	0	0	2.0	1.0	0	7.0	0	3.0	1.0	2.0	0	2.0	2.0	0	1.0	0	0	0	1.0	0	0	1.0	3.0	1.0	1.0	2.0	0	2.0	1.0	0	0	2.0	0	0	0	0	2.0	0	3.0	4.0	1.0	0	2.0	1.0	2.0	7.0	2.0	2.0	2.0	2.0	0	3.0	1.0	5.0	4.0	1.0	3.0	2.0	0	2.0	0	0	0	0	0	0	1.0	0	0	7.0	1.0	9.0	0	4.0	1.0	0	4.0	6.0	2.0	0	0	3.0	2.0	0	0	0	1.0	3.0	0	0	3.0	4.0	0	0	2.0	8.0	2.0	0	1.0	0	10.0	1.0	0	1.0	5.0	0	3.0	1.0	7.0	2.0	0	1.0	5.0	0	9.0	2.0	1.0	2.0	0	2.0	0	2.0	2.0	4.0	1.0	1.0	2.0	0	3.0	3.0	0	1.0	0	1.0	0	1.0	4.0	8.0	2.0	3.0	0	3.0	1.0	3.0	0	3.0	0	0	3.0	2.0	0	0	1.0	4.0	1.0	0	1.0	2.0	4.0	0	1.0	9.0	4.0	1.0	4.0	3.0	1.0	0	7.0	2.0	1.0	0	8.0	2.0	1.0	14.0	4.0	3.0	0	0	3.0	0	2.0	2.0	4.0	8.0	0	2.0	1.0	2.0	3.0
 s__Staphylococcus carnosus	0	2.0	1.0	0	0	1.0	0	1.0	1.0	0	0	0	0	1.0	2.0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	0	0	0	0	2.0	0	0	2.0	0	1.0	0	0	1.0	0	7.0	0	1.0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	2.0	6.0	0	0	0	0	0	9.0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	2.0	0	1.0	0	1.0	0	1.0	0	1.0	0	1.0	0	0	0	0	6.0	0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	4.0	6.0	0	10.0	0	1.0	4.0	5.0	0	1.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	3.0	0	0	0	0	1.0	0	2.0	0	2.0	0	0	0	1.0	1.0	5.0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	0	0	0	4.0	1.0	0	0	0	3.0	0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	5.0	1.0	0	0	0	0	1.0	0	0	0	0	1.0	2.0	0	1.0	0	1.0	2.0	1.0	0	0	0	0	0	0	0	0	4.0	0	0	1.0	1.0	0	0	1.0	2.0	2.0	0	0	0	0	0	1.0	0	0	1.0	11.0	0	0	0	3.0	0	1.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
