effect_size	metric	column	group_1	group_2
1.6156397873281345	cohens_d	case_type	control-anterior nares	control-nonlesional skin
1.5169286873686842	cohens_d	case_type	case-anterior nares	control-nonlesional skin
1.431052445683819	cohens_d	sample_type	anterior nares	lesional skin
1.3469952129618887	cohens_d	case_type	case-lesional skin	control-anterior nares
1.2696088553756621	cohens_d	sample_type	anterior nares	nonlesional skin
1.2219835937452497	cohens_d	case_type	case-anterior nares	case-lesional skin
1.2008477210321336	cohens_d	case_type	case-nonlesional skin	control-anterior nares
1.198604159763351	cohens_d	specimen	nasal	skin
1.008143303035361	cohens_d	case_type	case-anterior nares	case-nonlesional skin
0.8723030220098379	cohens_d	xebec_sampling_depth	q2	q4
0.6910938127703153	cohens_d	case_type	case-nonlesional skin	control-nonlesional skin
0.6579114306254704	cohens_d	xebec_sampling_depth	q3	q4
0.5715073031053012	cohens_d	xebec_sampling_depth	q1	q2
0.37596574076318273	cohens_d	xebec_sampling_depth	q1	q4
0.3736693556079018	cohens_d	xebec_sampling_depth	q1	q3
0.3496012726567244	cohens_d	case_type	case-lesional skin	case-nonlesional skin
0.34369521453481944	cohens_d	case_type	case-lesional skin	control-nonlesional skin
0.3428700717845271	cohens_d	area	Cape Town	Umtata
0.18265996210741534	cohens_d	hiv_exposure	Exposed	Unexposed
0.1442676931537915	cohens_d	case_type	case-anterior nares	control-anterior nares
0.13115065964150457	cohens_d	sex	female	male
0.0961859948834925	cohens_d	xebec_sampling_depth	q2	q3
0.07277130990616214	cohens_d	participant	case	control
0.008972701731035915	cohens_d	sample_type	lesional skin	nonlesional skin
