	0
900317	61
900263	544
900584	267
900089	59
900270	301
900558	235
900104	158
900449	23
900055	115
900236	188
900484	36
900284	74
900090	216
900542	191
900605	92
900138	11
900113	139
900431	20
900082	146
900224	17
900370	85
900122	33
900347	39
900249	294
900145	261
900308	45
900314	76
900052	93
900059	106
900551	49
900301	17
900442	144
900131	248
900095	83
900392	15
9000107	134
900086	56
900128	35
900261	314
900093	150
900540	70
900426	368
900438	61
900563	53
900500	146
900559	46
900285	293
900061	58
900622	95
900385	39
900372	161
900244	50
900548	70
900376	411
900231	63
900485	288
900409	237
900429	62
900602	120
900435	59
900388	278
900631	132
900228	35
900353	73
900367	77
900475	73
900446	218
900470	388
900593	129
900126	74
900344	56
900583	218
900501	192
900503	186
900300	34
900349	82
900436	140
900291	236
900432	35
900571	89
900108	145
900575	233
900612	9
900060	87
900316	76
900339	42
900359	36
900062	57
900352	260
900410	120
900404	20
900221	33
900466	20
900576	210
900297	174
900243	391
900459	23
900492	149
900324	116
900259	119
900328a	139
900390	338
900377	57
900142	21
900318	61
900323	247
900222	125
900245	483
900248	54
900141	104
900586	68
900307	55
900229	150
900302	277
900546	153
900149	51
900434	260
900356	291
900570	325
900440	50
900386	349
900140	50
900100	140
900223	23
900136	53
900264	43
900561	49
900099	138
900227	61
900555	280
900239	307
900487	30
900268	350
900312	97
900242	29
900395	291
900267	124
900358	240
900554	190
900478	68
900292	45
900139	87
900627	162
900319	191
900396	387
900483	75
900458	74
900272	28
900505	34
900393	83
900399	135
900238	252
900556	61
900234	59
900577	22
900271	285
900103	80
900508	196
900588	80
900094	177
900381	69
900462	58
900256	175
900078	200
900269	99
900134	32
900587	117
900414	135
900351	53
900233	217
900616	34
900413	107
900468	263
900444	68
900350	225
900125	356
900383	40
900617	120
900102	79
900310	73
900545	30
900599	54
900411	258
900560	216
900148	18
900472	47
900601	26
900097	225
900614	55
900254	37
900053	31
900084	124
900085	151
900606	165
900330	63
900447	37
900572	218
900081	116
900541	37
900283	382
900076	116
900336	20
900585	167
900080	84
900369	62
900246	23
900072	32
900329	192
900066	256
900613	268
900506	196
900116	207
900480	93
900087	250
900374	226
900609	41
900550	205
900473	160
900502	82
900321	320
900469	43
900504	92
900306	92
900493	71
900578	357
900320	77
900407	175
900281	300
900476	353
900105	160
900051	111
900114	140
900594	98
900425	97
900430	60
900295	86
900225	107
900463	35
900418	289
900130	202
900402	190
900569	155
900510	34
900112	79
900387	51
900491	152
900618	37
900634	38
900441	36
900098	214
900543	54
900069	17
900109	64
900580	26
900496	46
900277	179
900457	305
900360	373
900342	37
900623	76
900298	62
900364	248
900494	217
900328b	257
900598	62
900121	93
900313	133
900124	29
900258	143
900147	174
900325	252
900481	71
900279	352
900127	293
900091	92
900553	39
900237	84
900408	333
900118	52
900287	260
900322	209
900557	241
900331	322
900146	51
900240	64
900379	122
900304	44
900266	139
900111	293
900079	105
900296	113
900327	337
900106	71
900247	272
900453	17
900401	277
900137	41
900120	142
900280	37
900603	107
900275	33
900363	19
900373	52
900073	188
900333	129
900241	326
900477	119
900346	49
900226	81
900419	298
900335	305
900394	569
900403	166
900626	64
900499	199
900549	43
900391	71
900460	188
900573	271
900115	168
900303	378
900092	36
900299	125
900428	18
900544	228
900589	49
900289	252
900101	57
900581	316
900074	205
900417	29
900133	183
900129	116
900389	51
900454	81
900497	132
900341	214
900482	249
900278	59
900265	121
900416	19
900382	177
900068	254
900509	309
900290	89
900065	45
900574	78
900625	192
900597	37
900252	52
900144	43
900620	67
900590	95
900592	23
900117	51
900064	137
900421	230
900498	168
900135	255
900380	423
900343	308
900507	63
900326	24
900486	284
900378	177
900400	39
900337	168
900397	94
900420	174
900119	247
900334	235
900282	45
900361	88
900083	58
900456	67
900439	273
900610	80
900471	125
900552	126
900288	24
900070	118
900257	125
900251	318
900547	61
900338	138
900305	212
900253	287
900232	204
900632	43
900286	94
900250	69
900607	44
900110	368
900075	26
900057	139
900357	22
900123	113
900365	38
900427	184
900235	274
900384	308
900366	248
900340	295
900596	58
900422	55
900088	48
900255	144
900262	190
900621	277
900063	154
900276	167
900293	112
900445	202
900371	64
900562	101
