effect_size	metric	column	group_1	group_2
1.5433739186520303	cohens_d	case_type	control-anterior nares	control-nonlesional skin
1.336936422919363	cohens_d	case_type	case-nonlesional skin	control-anterior nares
1.2249385557461228	cohens_d	case_type	case-lesional skin	control-anterior nares
1.09480655036145	cohens_d	specimen	nasal	skin
1.0036467524215626	cohens_d	sample_type	anterior nares	nonlesional skin
0.8049280229251936	cohens_d	case_type	case-anterior nares	control-nonlesional skin
0.702886699932976	cohens_d	sample_type	anterior nares	lesional skin
0.6280640113031865	cohens_d	case_type	case-anterior nares	case-nonlesional skin
0.5688502220508396	cohens_d	xebec_sampling_depth	q2	q4
0.5506492188391454	cohens_d	case_type	case-anterior nares	case-lesional skin
0.46266027619104977	cohens_d	case_type	case-anterior nares	control-anterior nares
0.42283331236913363	cohens_d	xebec_sampling_depth	q1	q4
0.41597206051894225	cohens_d	case_type	case-lesional skin	control-nonlesional skin
0.3927395415099055	cohens_d	xebec_sampling_depth	q3	q4
0.3301419090204976	cohens_d	case_type	case-nonlesional skin	control-nonlesional skin
0.3299433896153401	cohens_d	sample_type	lesional skin	nonlesional skin
0.16555761574670383	cohens_d	xebec_sampling_depth	q1	q2
0.15488149003722196	cohens_d	xebec_sampling_depth	q2	q3
0.12700541998714393	cohens_d	participant	case	control
0.11603810116203965	cohens_d	case_type	case-lesional skin	case-nonlesional skin
0.08934472696228413	cohens_d	sex	female	male
0.07569375022746376	cohens_d	area	Cape Town	Umtata
0.03431105851124542	cohens_d	xebec_sampling_depth	q1	q3
0.021590356201429316	cohens_d	hiv_exposure	Exposed	Unexposed
