	Faith_PD
900221	3.134932377
900570	8.753574653000001
900091	3.333254153
900245	7.9480087
900581	8.964010474
900145	6.76487386
900364	6.669004398
900329	6.226932608
900460	4.952224505999999
900293	4.121638677
900544	8.078273805999999
900110	8.618427918
900247	10.005887206999999
900243	10.28063626
900590	5.572400101
900596	3.499426915
900308	2.9862823339999998
900249	7.881121371
900397	4.916750365
900445	5.438525251
900470	8.390391417
900148	0.8008722939999999
900268	7.7023226099999995
900122	2.656235378
900068	7.458568865999999
900486	6.964052006
900111	8.973395228
900414	6.5912225809999985
900305	7.777663048
900352	6.618524506
900285	6.987811202
900241	8.904217917
900074	5.623934783
900340	8.402599155
900137	3.347404896
900382	4.54784481
900625	5.548264101
900119	7.296983042999999
900303	10.929571665000001
900509	6.814045388
900291	5.491767317000001
900066	7.973387296
900323	6.964198732
900418	7.416627268
900283	8.126521381
900494	6.112911784
900473	6.229745888
900358	4.843529074
900239	5.153890489
900078	7.961677021
900569	5.759318651999999
900463	3.424519603
900572	8.618234311000002
900331	9.373375954
900578	7.053158943
900400	3.0390606999999994
900360	11.080221491
900573	7.50266525
900631	6.736938686
900497	6.000872558999999
900328b	7.1839676059999995
900302	6.873756674
900108	6.149576537
900610	4.835706192
900550	5.988070358999999
900356	4.373082659
900622	3.375946055
900482	7.006788354999999
900548	3.3347358019999995
900390	8.20839655
900446	6.381065888
900395	8.304692579
900256	5.165259217
900113	4.942430343
900325	7.9606466860000005
900492	5.963698375
900258	5.840582019000001
900334	9.412931960999998
900394	12.560508843
900227	1.7758047199999998
900476	6.483934535
900557	7.203600304
900392	1.8224214049999998
900613	7.64097404
900116	6.911707093
900064	5.605108459
900226	5.501234391
900440	2.523891039
900374	7.741206258
900082	4.621474283
900401	7.405192263
900500	4.811639826
900439	7.368020382
900562	5.161341867
900299	5.9277580279999995
900253	7.087647905999999
900277	5.118416177
900576	3.816812821
900088	2.619332838
900259	5.34653781
900235	7.683929478
900485	7.039849864
900238	6.596115002
900232	7.9105079809999985
900084	4.639559148
900099	5.411745462
900262	5.756852247000001
900255	5.631608759
900319	5.511891194
900114	4.606015526
900449	1.079524177
900426	9.252888234
900491	7.3049780890000005
900417	1.4498637959999998
900558	7.88699666
900508	6.361441088
900117	4.076814812
900598	3.309738371
900070	4.8413121740000005
900271	6.490810311000001
900384	7.768036914
900251	7.025539664
900313	5.152061842
900087	5.980041535
900546	5.361080575
900555	7.716726103999999
900233	6.292357183
900102	4.474247317
900584	7.204698295
900337	6.467282483
900503	7.075592147
900575	5.768529059
900073	6.253455862000001
900335	8.302848305
900123	4.319944942999999
900297	4.911549207
900281	9.266518928
900606	2.7887615329999997
900372	5.431442346000001
900224	1.13920119
900585	5.123239932000001
900090	5.449610928
900627	4.631433495
900261	8.830284644999999
900434	6.950717624999999
900063	4.803194618
900263	8.904956555
900081	4.728907496
900501	6.011684613
900279	7.701489364
900097	6.516206219
