taxon	lfc_(Intercept)	lfc_case_typecase-nonlesional_skin	lfc_case_typecase-lesional_skin	lfc_age_months	lfc_sexmale	lfc_enrolment_seasonSpring	lfc_enrolment_seasonSummer	lfc_enrolment_seasonWinter	se_(Intercept)	se_case_typecase-nonlesional_skin	se_case_typecase-lesional_skin	se_age_months	se_sexmale	se_enrolment_seasonSpring	se_enrolment_seasonSummer	se_enrolment_seasonWinter	W_(Intercept)	W_case_typecase-nonlesional_skin	W_case_typecase-lesional_skin	W_age_months	W_sexmale	W_enrolment_seasonSpring	W_enrolment_seasonSummer	W_enrolment_seasonWinter	p_(Intercept)	p_case_typecase-nonlesional_skin	p_case_typecase-lesional_skin	p_age_months	p_sexmale	p_enrolment_seasonSpring	p_enrolment_seasonSummer	p_enrolment_seasonWinter	q_(Intercept)	q_case_typecase-nonlesional_skin	q_case_typecase-lesional_skin	q_age_months	q_sexmale	q_enrolment_seasonSpring	q_enrolment_seasonSummer	q_enrolment_seasonWinter	diff_(Intercept)	diff_case_typecase-nonlesional_skin	diff_case_typecase-lesional_skin	diff_age_months	diff_sexmale	diff_enrolment_seasonSpring	diff_enrolment_seasonSummer	diff_enrolment_seasonWinter	passed_ss_(Intercept)	passed_ss_case_typecase-nonlesional_skin	passed_ss_case_typecase-lesional_skin	passed_ss_age_months	passed_ss_sexmale	passed_ss_enrolment_seasonSpring	passed_ss_enrolment_seasonSummer	passed_ss_enrolment_seasonWinter	diff_robust_(Intercept)	diff_robust_case_typecase-nonlesional_skin	diff_robust_case_typecase-lesional_skin	diff_robust_age_months	diff_robust_sexmale	diff_robust_enrolment_seasonSpring	diff_robust_enrolment_seasonSummer	diff_robust_enrolment_seasonWinter
g__Streptococcus_ASV-5	0.6268732289317824	-1.7997693446126461	0.32658375614675084	-0.015265265011464448	0.1147076077300889	0.18505647133962422	0.6188675342673775	1.449528167889533	0.6002490992408558	0.881703024639729	0.9004281487333771	0.01987193495664932	0.23910325640980465	0.9561689047595467	1.915712273510275	0.19462572769951234	1.0443551347675466	-2.0412421124993263	0.3626982970336421	-0.7681821143620722	0.4797408845552854	0.19353952049524287	0.32304826921288615	7.447772630181231	0.31094507213240863	0.05706514315512773	0.721300332156022	0.45291851606464606	0.63752571965295	0.8488300689334547	0.7505983219405301	9.530566724111703e-7	0.5952377095106108	0.47488821139656706	0.8939227265473445	0.6529632321426031	0.8074764333631885	1	1	6.385479705154841e-5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Corynebacterium_ASV-7	1.6564309998126334	-0.8405033379425613	-1.7373686768294505	-0.03197883245835008	-0.015114117343062162	-0.2782475238374042	0	1.4077379815344717	0.5991594968331003	0.887313494889857	0.8969034569951136	0.01979810332490428	0.25549052606079187	0.9573440870717992	1.9142514519635014	0.2194986373577554	2.764591078949455	-0.9472450749178493	-1.9370743453817636	-1.61524727563794	-0.059157251644884404	-0.290645262863086	0	6.413424695844623	0.012768332082234013	0.3560582545315545	0.06859224077780639	0.12364909534395296	0.9534786857867514	0.7746448269011535	1	4.887295229905296e-6	0.07276522732841889	0.8519965376290768	0.6604446011707326	0.28567204786361544	0.9534786857867514	1	1	1.0462635384901507e-4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Corynebacterium_ASV-3	1.1398737120511764	-0.9958454593566373	-0.9018518074119066	0.013628989038123677	-0.5837235368627459	0.01783578022691007	-0.8222834921307893	0.04467717945490901	0.7138482657360428	0.9320974946108178	0.9452265453980495	0.02294977046973047	0.3306284592592011	0.9560307181060999	1.833694809667354	0.32909086285120637	1.596801122540884	-1.0683919494627934	-0.9541118071669505	0.5938616709086302	-1.7654969513835082	0.018656074422213977	-0.44842985201008323	0.1357594041591764	0.11661169995917689	0.29047490531215964	0.34461720631284243	0.5552820265559593	0.08358639621164107	0.9851897188329202	0.655780334287286	0.8925565913863402	0.3255409957193688	0.8461660285180302	0.8939227265473445	0.7154595342163321	0.20001030522071256	1	1	0.9200198711213045	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g___ASV-6	-1.309507333355947	0.136744327874329	0.46478581678760966	0.076213120371151	-1.4075108672103085	-0.4287701394742788	0.38630580858583624	1.3602991117961167	0.6481964637437498	0.894108830968731	0.9099633633141244	0.020996016581339934	0.24650817630802482	0.963754684760295	1.8370403793887857	0.2212690024724858	-2.0202321465820767	0.15293924311895232	0.51077420863939	3.6298847486567944	-5.709793842503424	-0.4448955177643805	0.21028705352375907	6.147716564886969	0.056956291847573316	0.8799786813592354	0.6151011351740507	0.0016683632290534565	1.3764195181031999e-5	0.661172782421326	0.8355711838827955	5.244914508032725e-6	0.19056795679793526	0.9710108121204576	0.8939227265473445	0.012420037371842399	9.222010771291439e-4	1	1	1.0462635384901507e-4	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Brachybacterium_ASV-1	-1.3150000671639015	0.8522798392611235	1.2482900692179701	0.05387674934049213	-0.9106509936482757	1.152583360326331	0.46786435599001863	0.10655105111497033	0.6100135391028304	0.8716900593150945	0.8913600727130998	0.020287367903569737	0.2372254817167038	0.9377936512099551	1.821259187436322	0.21222782570781235	-2.1556899689438387	0.9777326587052949	1.4004330095451276	2.6556796128793057	-3.838757063778591	1.229037282177429	0.2568905948244541	0.5020597594099937	0.03984997648583481	0.3365791167645934	0.172368318108267	0.012913715466065684	6.463869012671653e-4	0.2292870504226088	0.7991415583068049	0.6195509311798577	0.14052360129215433	0.8519965376290768	0.8939227265473445	0.05106664845431816	0.007217987064150012	1	1	0.7832058941330277	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Paracoccus_ASV-1	0.8584383239028239	-1.8433852177356465	-1.20505352221379	-0.012051286141944739	0.8030579033701536	-0.06136043987839505	0.5200353905103714	1.5252591287686685	0.690483775872363	0.9043118477816858	0.9185399387775048	0.021424856572328017	0.2598802686550331	0.9444094695079136	1.8117039412638098	0.2825787277989615	1.2432418456440424	-2.0384397509084353	-1.3119228368203666	-0.5624908666837927	3.090107254106845	-0.06497228359047165	0.2870421478178188	5.397643129930866	0.22281075434532946	0.04984068800202157	0.19888025546400953	0.5777012386942815	0.00412142989369386	0.9486002722062759	0.7759305836483521	6.2463494835232875e-6	0.48947566582163027	0.47488821139656706	0.8939227265473445	0.7167774628243863	0.025103254807044416	1	1	1.0462635384901507e-4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Cutibacterium_ASV-2	-0.20236917071489677	-0.07524664115590729	1.1570950450945674	0.020282574197556417	-0.5827299397321029	0.11979909130068922	-1.1711673192186576	-0.1141917997845216	0.7304464879756586	0.8898383306880063	0.9113853660098885	0.022779560438993603	0.3063357295343474	0.9321497953673279	1.7888137820245653	0.29848610194777675	-0.27704859157545914	-0.08456214860707112	1.2696002023385713	0.8903847926247561	-1.9022591345054485	0.12851914133981068	-0.6547172942133416	-0.38256990539713853	0.7825366503971594	0.9328441819647199	0.20831536069313406	0.3762248984309503	0.06113724576985021	0.8980964681179483	0.5147359493602581	0.7031657198099776	0.9568181323511443	0.9710108121204576	0.8939227265473445	0.58621088825287615	0.17567202732154585	1	1	0.8122776418494568	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g___ASV-23	-0.11484498181342102	-0.09356476190164376	0.6127909684744857	0.01373094332854165	-0.431434317953616	0.9878184672652136	-0.40794370301387295	0.035979890173580456	0.5782154414246463	0.8734404444562299	0.8936647551108383	0.01930404629553847	0.225898553176455	0.9520010219762783	1.8342376713622797	0.18117997314460374	-0.19861970744063526	-0.1071220854215121	0.6857056462951626	0.7112987152188466	-1.9098587037722718	1.037623326511332	-0.22240504018810991	0.19858646377469164	0.8443842843542715	0.9156630117618594	0.5000614747710925	0.4843733621422027	0.06927571637261168	0.31071627938824653	0.8260503610511145	0.8444099746570591	0.9568181323511443	0.9710108121204576	0.8939227265473445	0.6624795970222432	0.17851819219096088	1	1	0.8980233063813169	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Bifidobacterium_388775_ASV-1	-1.0746927719268256	0.7691797956334963	0.9063065163637507	0.05602742516802006	-1.035337694778698	-0.8116654350247055	-0.9299620242045384	0.04226831597499116	0.5694228688847395	0.8709954546885187	0.8915619791194455	0.019490020653285842	0.22203530134563967	0.9467476168193253	1.8784849975194875	0.18592597372568956	-1.8873368644847333	0.8831042590326338	1.0165378712749367	2.8746724369722174	-4.662941831790074	-0.8573197551334333	-0.49505959612801803	0.2273394896258699	0.07534823860729586	0.38882239441336675	0.32284316482009157	0.010081569288464867	1.935544468820062e-4	0.40253897181786746	0.6265469174903564	0.8227219054108219	0.22946963575858287	0.8854879372522079	0.8939227265473445	0.04503100948847641	0.002593629588218883	1	1	0.889070446169759	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Cutibacterium_ASV-1	-1.0160461486602963	0.12308929121141723	1.1061412478902775	0.036673241015768056	0.06547848698599094	0.3742020696691062	-0.18826812353231218	0.17072545971595174	0.8215347045526296	0.940115704150744	0.9552971828763249	0.02273135162217899	0.31532271807823786	0.9694823746867365	1.700710958312446	0.3257186647137539	-1.2367659491799423	0.13092993837669192	1.1579027633681205	1.6133330575902032	0.2076554692445104	0.3859813024347349	-0.11069965922905785	0.5241500663340483	0.21988487813168117	0.8961678383132153	0.2504369839620652	0.1107109573655764	0.836039205945605	0.7005613107944296	0.9121388621263107	0.6016604881981146	0.48947566582163027	0.9710108121204576	0.8939227265473445	0.2649155051247721	0.9534786857867514	1	1	0.7832058941330277	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
