taxon	lfc_(Intercept)	lfc_case_typecase-nonlesional_skin	lfc_case_typecase-lesional_skin	lfc_age_months	lfc_sexmale	lfc_enrolment_seasonSpring	lfc_enrolment_seasonSummer	lfc_enrolment_seasonWinter	se_(Intercept)	se_case_typecase-nonlesional_skin	se_case_typecase-lesional_skin	se_age_months	se_sexmale	se_enrolment_seasonSpring	se_enrolment_seasonSummer	se_enrolment_seasonWinter	W_(Intercept)	W_case_typecase-nonlesional_skin	W_case_typecase-lesional_skin	W_age_months	W_sexmale	W_enrolment_seasonSpring	W_enrolment_seasonSummer	W_enrolment_seasonWinter	p_(Intercept)	p_case_typecase-nonlesional_skin	p_case_typecase-lesional_skin	p_age_months	p_sexmale	p_enrolment_seasonSpring	p_enrolment_seasonSummer	p_enrolment_seasonWinter	q_(Intercept)	q_case_typecase-nonlesional_skin	q_case_typecase-lesional_skin	q_age_months	q_sexmale	q_enrolment_seasonSpring	q_enrolment_seasonSummer	q_enrolment_seasonWinter	diff_(Intercept)	diff_case_typecase-nonlesional_skin	diff_case_typecase-lesional_skin	diff_age_months	diff_sexmale	diff_enrolment_seasonSpring	diff_enrolment_seasonSummer	diff_enrolment_seasonWinter	passed_ss_(Intercept)	passed_ss_case_typecase-nonlesional_skin	passed_ss_case_typecase-lesional_skin	passed_ss_age_months	passed_ss_sexmale	passed_ss_enrolment_seasonSpring	passed_ss_enrolment_seasonSummer	passed_ss_enrolment_seasonWinter	diff_robust_(Intercept)	diff_robust_case_typecase-nonlesional_skin	diff_robust_case_typecase-lesional_skin	diff_robust_age_months	diff_robust_sexmale	diff_robust_enrolment_seasonSpring	diff_robust_enrolment_seasonSummer	diff_robust_enrolment_seasonWinter
g__Streptococcus_ASV-5	0.8262516811143655	-0.3857415821872244	-0.0070148410466381456	-0.03559610709985191	-0.8310657295597874	0	0	-0.1964822589664523	12.524142042666425	0.2938430686124453	0.25818531032980946	0.03266145944173241	0.17892846586911398	13.06274616828887	16.35321197366399	13.102011547182919	0.06597271719687828	-1.312746916266334	-0.02716979148688704	-1.0898504754006744	-4.644681468222677	0	0	-0.01499634298587519	0.9481267757015511	0.20576019169674098	0.9786232738736163	0.2901548751448387	2.0146853620651428e-4	1	1	0.9882000690009654	0.9997537661653508	0.31185529054037303	0.9786232738736163	0.7818061913624821	0.0019542448012031884	1	1	0.9993482880635282	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Psychrobacter_ASV-1	0.42238049038131625	-0.19216930383452288	-1.4722962097378982	-0.011536884847005184	0.03114247048997213	0	0	-0.17746244533149896	12.57141358544227	0.272324395131409	0.187611831261759	0.030882569310432196	0.1519298473489243	13.114396424783427	16.40454131457929	13.154608458608152	0.03359848815016586	-0.7056631990012955	-7.847565901554082	-0.373572701514443	0.20497927848535172	0	0	-0.013490515197764823	0.973567101987221	0.48943039256505794	3.21964964815396e-7	0.7130858075794444	0.8398884228542117	1	1	0.9893848553674573	0.9997537661653508	0.6009461782127927	2.230757256220958e-6	0.9294547734656017	0.8805743833707033	1	1	0.9993482880635282	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Corynebacterium_ASV-3	0.9071019556477841	-1.1982067226694513	-2.2838955433526364	-0.02783019146548121	0.6738057606328314	0	0	0.4609721858190309	12.194487831365192	0.2973204049478358	0.2629670978896067	0.03127224504267506	0.2023299400416962	12.710177512554576	15.91246115139543	12.7507371145846	0.07438622828542628	-4.0300184673826	-8.685100005596187	-0.8899326360324716	3.3302325918446543	0	0	0.03615259115426039	0.9411661357567043	3.2188020218299254e-4	6.336096101767366e-10	0.38014400205355603	0.002195839882934783	1	1	0.9713852756733227	0.9997537661653508	0.0019513987257343923	1.676724468666338e-8	0.9294547734656017	0.008519858745786956	1	1	0.9993482880635282	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g___ASV-6	3.110998006939874	0.0595288991912185	-1.023467004907044	-0.02585787430654629	0.2885516051631854	-2.471186464956683	0	-2.5380345065603187	11.732661062058211	0.33525130810943743	0.30603115175081047	0.031179548475286485	0.20627609206576666	12.225922737335473	15.31254497635716	12.264883835878186	0.26515706799034766	0.17756500198885503	-3.3443229522608022	-0.8293216409802003	1.398861119936221	-0.20212678568711903	0	-0.2069350627794667	0.7918127033563918	0.8596728305546152	0.0014378242911965613	0.4102652296440734	0.16708968100331706	0.8405129577052703	1	0.836773105755812	0.9997537661653508	0.8805337498895729	0.0030319338314362273	0.9294547734656017	0.27012831762202927	1	1	0.9993482880635282	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Brachybacterium_ASV-1	0.35976478097787445	-1.3692346753933353	-1.8591673079372146	0.009880047277670221	-0.2838852906813135	0.5147834646276305	-2.0003575095710397	0.6372368361444305	11.370204500554035	0.30470910023304	0.2829717810746092	0.0311645960651167	0.21262135679805078	11.828326772619986	14.930830511040211	11.868570261394483	0.03164101234593839	-4.493579858120914	-6.570150920621378	0.31702792672256713	-1.3351682773379614	0.04352124138295221	-0.13397496596669073	0.053691120506503126	0.9748538280366266	2.892630457068701e-5	9.346733874756751e-9	0.7522230957818501	0.18640830891225038	0.9654174362319441	0.8938300689577983	0.9573434467723217	0.9997537661653508	3.1176128259518225e-4	1.295190265502007e-7	0.9294547734656017	0.2870096184839411	1	1	0.9993482880635282	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g___ASV-19	-1.1574540434128249	0.4961553184383842	0.42784681368675687	0.03043503988590098	0.17005037174933624	0	0	-0.4181415645350537	12.060700111709176	0.25737901973391086	0.21669742636416425	0.030308000810503992	0.16134134507229275	12.554694736546882	15.762644472475957	12.595556050344477	-0.09596905923306279	1.9277224653016791	1.9743973007217537	1.004191601953269	1.0539788897454723	0	0	-0.03319754704466722	0.924281038948807	0.06488039000927032	0.05904782009232497	0.3245410940578606	0.30158923885484473	1	1	0.9737706007339897	0.9997537661653508	0.12586795661798442	0.09091489760246861	0.8284338453582231	0.41071971662262463	1	1	0.9993482880635282	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Paracoccus_ASV-1	1.5357987293999986	-0.8205639768449072	-1.4886901702658597	-0.0466879204611291	0.650978863641723	0	0	-0.37535347087371834	12.161120229567075	0.28852648516472673	0.25766718848083126	0.030984750161776462	0.17135231474207271	12.671817548826441	15.868642567842038	12.711916193635192	0.12628760347801213	-2.8439814680320508	-5.77756981415819	-1.5068031924531846	3.799066645942927	0	0	-0.02952768608257946	0.9003198066120943	0.007820481174232527	2.3137529477568564e-6	0.14198470408553632	6.364423684388556e-4	1	1	0.9766330210143992	0.9997537661653508	0.026158161168984655	1.0687335044400718e-5	0.7541835075392909	0.0031395912788701554	1	1	0.9993482880635282	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Cutibacterium_ASV-2	-0.2246664690102309	0.4092815263935865	0.06047646224553942	0.012649733606647513	-0.4127027492760428	0	0	0.1123261051842055	10.28186121735402	0.3483976293048457	0.3315709381579463	0.030385353623052717	0.2504552297942326	10.667248372522263	13.470441408112034	10.707021876787952	-0.021850758754750784	1.1747540510256107	0.18239373625902944	0.4163102316851245	-1.6478104674240919	0	0	0.010490882196450944	0.9826058855857137	0.24258472145894278	0.8556034714636048	0.6779797058802857	0.10219427595706652	1	1	0.9916483047259175	0.9997537661653508	0.3613492968195649	0.9120168871645018	0.9294547734656017	0.18357119940436023	1	1	0.9993482880635282	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Prevotella_ASV-6	0.24570892198359612	-0.4397944466251239	-0.5835266929088713	0.012168525306637834	-1.1069348536338974	0	0	0.32157617331161825	12.467997164621146	0.23872655228506198	0.20498758725940494	0.030654370268251203	0.14907242581415076	12.988030069225314	16.243824178910902	13.02837234044042	0.019707168580436734	-1.8422519087862834	-2.8466440368920374	0.3969589066796392	-7.425483603613709	0	0	0.024682758897935173	0.9845367277989119	0.08529389613388155	0.01224936319532638	0.6969885057007782	2.1292908707692633e-6	1	1	0.9806333805354869	0.9997537661653508	0.1532131097219724	0.021603422362666522	0.9294547734656017	4.13082428929237e-5	1	1	0.9993482880635282	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g___ASV-23	0.3389409199175945	0.10242728851957404	-1.002639854104386	-0.006689492864227507	0.33795980979455825	0	-0.11214186839486136	0.2330708414599842	12.310883653498	0.24630623409241215	0.21698447551166458	0.030999911822896933	0.16460342926913102	12.830847957346437	16.075860635764794	12.872084638026433	0.027531810831571645	0.41585341474200826	-4.620790735097942	-0.21579070619441446	2.0531759957563516	0	-0.006975792521202478	0.0181066896321868	0.9782730641392792	0.6813718111549331	1.1977132257454797e-4	0.8310531488059634	0.051599139269200484	1	0.9944943216855124	0.9857099006308268	0.9997537661653508	0.7539478528926016	3.872606096577051e-4	0.9373506445834703	0.10010233018224894	1	1	0.9993482880635282	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Actinomyces_ASV-2	0.06515284370291527	-0.05273700472029037	-0.2691041141765334	0.03824077797036972	-0.7333042497074825	0	0	-0.4951215474924138	12.360581423480612	0.22811822055377637	0.19536150510027708	0.03059795027358898	0.14033151892421977	12.879032535677604	16.1277031026404	12.919952615865073	0.00527101771921089	-0.23118278142038287	-1.3774674495797163	1.2497823425570354	-5.2255135220439906	0	0	-0.03832224174602844	0.9958557171100403	0.8199323489097774	0.18623396700210726	0.22831171277090076	6.854983282197292e-5	1	1	0.9698771947912092	0.9997537661653508	0.8644938896113957	0.25873022892399966	0.7541835075392909	8.712961169340648e-4	1	1	0.9993482880635282	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Bifidobacterium_388775_ASV-1	1.1613266882806943	-0.13429717125459942	-0.8837912985220909	-0.0422686292933187	-0.7796696794563143	0	0	0.9471830755922228	12.143981936580861	0.28147747939898615	0.22405035742984344	0.03108877443520696	0.17388399687074424	12.657176044107421	15.847112205018458	12.697407836950575	0.09562981025049729	-0.4771151551497201	-3.944610080788785	-1.3596106653033881	-4.483849540425952	0	0	0.07459657024135562	0.9243449438007499	0.636163921862363	3.542695729627632e-4	0.18240865513020507	7.185947356157235e-5	1	1	0.9409486839249603	0.9997537661653508	0.7184284628729882	9.545596827052232e-4	0.7541835075392909	8.712961169340648e-4	1	1	0.9993482880635282	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Cutibacterium_ASV-1	-1.4647872230213577	0.384442486433287	0.078987115458047	0.008391060960118515	-0.2500846529862345	1.3217700937314223	0	1.5067437290711923	10.1298950605825	0.38725055552457877	0.37368248262546394	0.030367947372733625	0.2776620000787926	10.474960128709418	13.166899617209166	10.514079271295065	-0.1446004340875302	0.9927487022259067	0.21137494833338105	0.2763130763211402	-0.9006801539831434	0.12618378280111628	0	0.14330724452352356	0.8852709686705084	0.32284677830938047	0.8329562727659695	0.7827869277739541	0.3695775743791042	0.899799396158975	1	0.8862899179165973	0.9997537661653508	0.45385706515956387	0.8977417606477671	0.9294547734656017	0.49108253033935767	1	1	0.9993482880635282	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g__Faecalibacterium_ASV-1	1.1816273090317688	0.9922204131242244	0.3052292072325394	0.008109863663178526	-0.20742160389191042	-2.008468670372024	0	-1.4007425083475225	12.260625853403246	0.26717726557588994	0.2260540851575293	0.030992709465395236	0.15890277771212233	12.782764333733427	15.99938740306302	12.822944803320045	0.09637577421904432	3.713715727217781	1.3502485788736605	0.26167004444169545	-1.3053365515591406	-0.15712318696760452	0	-0.10923719393885639	0.9238424993776759	8.038964480975659e-4	0.186712536336907	0.7953066618313911	0.20138395180005766	0.8761666722720981	1	0.9137184220395492	0.9997537661653508	0.0037132359745458993	0.25873022892399966	0.9294547734656017	0.3005268203785476	1	1	0.9993482880635282	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g___ASV-16	0.6512325200865849	-0.030186247812624294	0.017389657332418235	-0.0450462173265976	0.37883393627835416	0	0	-0.4883239772746785	12.32671954460835	0.25630186231075963	0.23222566380682028	0.030999604526620064	0.17433979278568973	12.85427216800864	16.08576531336378	12.894999455254208	0.05283096753600036	-0.11777615480618014	0.07488258208569072	-1.4531223225094823	2.1729630982413894	0	0	-0.03786925148536595	0.9582168229837744	0.9070300461307019	0.9408052486859674	0.156570884554466	0.037810936576888034	1	1	0.9700428095069438	0.9997537661653508	0.9164782757778968	0.960611674974093	0.7541835075392909	0.0748502213869008	1	1	0.9993482880635282	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g___ASV-2	-1.5687936178554294	1.7512578055023764	1.5883464547187556	-0.015183544262006729	0.5691586882869584	0	0	0.26862300539749584	11.499512547969376	0.3192382513931851	0.3082149790835579	0.03167635008157606	0.24197541843646692	11.935826336701203	14.966507116885719	11.977664412833711	-0.13642261889895954	5.485739249164929	5.153372037405589	-0.4793337686603592	2.352134328208205	0	0	0.0224269937893463	0.8921548710317865	2.3243688965791647e-6	6.839063961448821e-6	0.6342481398418742	0.023549141841674052	1	1	0.9822161430291896	0.9997537661653508	3.2209111852597e-5	2.6535568170421426e-5	0.9294547734656017	0.054387303777199594	1	1	0.9993482880635282	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
