effect_size	metric	column	group_1	group_2
1.770531323259081	cohens_d	case_type	control-anterior nares	control-nonlesional skin
1.5905383370982444	cohens_d	case_type	case-anterior nares	control-nonlesional skin
1.4695327071726714	cohens_d	sample_type	anterior nares	lesional skin
1.469061093680757	cohens_d	case_type	case-lesional skin	control-anterior nares
1.348832157783719	cohens_d	sample_type	anterior nares	nonlesional skin
1.3118827539989786	cohens_d	case_type	case-nonlesional skin	control-anterior nares
1.2680138491214334	cohens_d	specimen	nasal	skin
1.237492601617375	cohens_d	case_type	case-anterior nares	case-lesional skin
1.0876550845598285	cohens_d	xebec_sampling_depth	q2	q4
1.0334930787900887	cohens_d	case_type	case-anterior nares	case-nonlesional skin
0.7565609845702855	cohens_d	xebec_sampling_depth	q1	q4
0.7109749393092183	cohens_d	case_type	case-nonlesional skin	control-nonlesional skin
0.6906492698484963	cohens_d	xebec_sampling_depth	q3	q4
0.46099382765650854	cohens_d	case_type	case-lesional skin	control-nonlesional skin
0.3771548398126648	cohens_d	area	Cape Town	Umtata
0.3652389581772072	cohens_d	xebec_sampling_depth	q1	q2
0.267511839808122	cohens_d	case_type	case-lesional skin	case-nonlesional skin
0.2557392410734388	cohens_d	xebec_sampling_depth	q2	q3
0.22306411656523104	cohens_d	hiv_exposure	Exposed	Unexposed
0.18939891226440653	cohens_d	case_type	case-anterior nares	control-anterior nares
0.1662119273876685	cohens_d	sex	female	male
0.10178910127839494	cohens_d	sample_type	lesional skin	nonlesional skin
0.08708756847046756	cohens_d	participant	case	control
0.06392854855191252	cohens_d	xebec_sampling_depth	q1	q3
