Comparison,Model,AUC-ROC,Accuracy
Skin vs Nares,XGBoost,0.955 ± 0.019,0.911 ± 0.013
Skin vs Nares,LightGBM,0.951 ± 0.022,0.905 ± 0.008
Skin vs Nares,Random Forest,0.949 ± 0.021,0.922 ± 0.023
Skin vs Nares,SVM,0.935 ± 0.007,0.905 ± 0.011
skin-ADL vs skin-H,Random Forest,0.790 ± 0.018,0.694 ± 0.020
skin-ADL vs skin-H,SVM,0.771 ± 0.020,0.689 ± 0.084
skin-ADL vs skin-H,XGBoost,0.761 ± 0.009,0.689 ± 0.000
skin-ADL vs skin-H,LightGBM,0.718 ± 0.022,0.667 ± 0.020
skin-ADNL vs skin-ADL,Random Forest,0.751 ± 0.011,0.697 ± 0.021
skin-ADNL vs skin-ADL,XGBoost,0.710 ± 0.053,0.672 ± 0.014
skin-ADNL vs skin-ADL,SVM,0.691 ± 0.069,0.652 ± 0.037
skin-ADNL vs skin-ADL,LightGBM,0.676 ± 0.063,0.646 ± 0.052
skin-ADNL vs skin-H,SVM,0.717 ± 0.065,0.656 ± 0.054
skin-ADNL vs skin-H,Random Forest,0.689 ± 0.076,0.667 ± 0.041
skin-ADNL vs skin-H,XGBoost,0.677 ± 0.088,0.639 ± 0.075
skin-ADNL vs skin-H,LightGBM,0.662 ± 0.093,0.623 ± 0.084
Nares AD vs H,Random Forest,0.646 ± 0.064,0.594 ± 0.034
Nares AD vs H,XGBoost,0.645 ± 0.029,0.644 ± 0.048
Nares AD vs H,LightGBM,0.612 ± 0.034,0.589 ± 0.008
Nares AD vs H,SVM,0.459 ± 0.075,0.600 ± 0.014
