	microbiome_type
Ca009STL	skin
900221	skin
Ca010EBL	skin
900460	skin
900051	skin
900226	skin
900057	skin
900229	skin
Ca009STNL	skin
900222	skin
Ca010EBNL	skin
900461	skin
900052	skin
900227	skin
900058	skin
900230	skin
Ca009STPN	nares
900223	nares
Ca010EBPN	nares
900462	nares
900053	nares
900228	nares
900059	nares
900231	nares
Co004LNNL	skin
900241	skin
Co005SNNL	skin
900243	skin
900137	skin
900245	skin
900139	skin
900247	skin
Co004LNPN	nares
900242	nares
Co005SNPN	nares
900244	nares
900138	nares
900246	nares
900140	nares
900248	nares
900232	skin
900060	skin
900235	skin
900063	skin
900238	skin
900066	skin
900255	skin
900070	skin
900233	skin
900061	skin
900236	skin
900064	skin
900239	skin
900068	skin
900256	skin
900071	skin
900234	nares
900062	nares
900237	nares
900065	nares
900240	nares
900069	nares
900257	nares
900072	nares
900249	skin
900141	skin
900251	skin
900145	skin
900253	skin
900143	skin
900263	skin
900540	skin
900250	nares
900142	nares
900252	nares
900146	nares
900254	nares
900144	nares
900264	nares
900541	nares
900476	skin
900477	skin
900364	skin
900365	nares
900482	skin
900483	skin
900484	nares
900073	skin
900087	skin
900261	skin
900081	skin
900276	skin
900084	skin
900299	skin
900074	skin
900258	skin
900079	skin
900262	skin
900082	skin
900277	skin
900085	skin
900300	skin
900075	nares
900265	skin
900080	nares
900275	nares
900083	nares
900278	nares
900086	nares
900301	nares
900542	skin
900259	skin
900544	skin
900268	skin
900546	skin
900270	skin
900548	skin
900271	skin
900543	nares
900267	nares
900545	nares
900269	nares
900547	nares
900266	nares
900549	nares
900272	nares
900293	skin
900078	skin
900297	skin
900090	skin
900302	skin
900093	skin
900305	skin
900096	skin
900294	skin
900088	skin
900296	skin
900091	skin
900303	skin
900094	skin
900306	skin
900097	skin
900295	nares
900089	nares
900298	nares
900092	nares
900304	nares
900095	nares
900307	nares
900098	nares
900279	skin
900550	skin
900283	skin
900552	skin
900281	skin
900560	skin
900285	skin
900562	skin
900280	nares
900551	nares
900284	nares
900553	nares
900282	nares
900561	nares
900286	nares
900563	nares
900485	skin
900486	skin
900487	nares
900224	skin
900225	skin
900308	skin
900099	skin
900331	skin
900102	skin
900328b	skin
9000107	skin
900337	skin
900110	skin
900309	skin
900100	skin
900332	skin
900103	skin
900329	skin
900108	skin
900338	skin
900111	skin
900310	nares
900101	nares
900333	nares
900104	nares
900330	nares
900109	nares
900339	nares
900112	nares
900287	skin
900598	skin
900289	skin
900596	skin
900291	skin
900600	skin
900311	skin
900602	skin
900288	nares
900599	nares
900290	nares
900597	nares
900292	nares
900601	nares
900312	nares
900603	nares
900113	skin
900334	skin
900116	skin
900340	skin
900119	skin
900122	skin
900114	skin
900335	skin
900117	skin
900341	skin
900120	skin
900123	skin
900115	nares
900336	nares
900118	nares
900342	nares
900121	nares
900124	nares
900606	skin
900313	skin
900604	skin
900315	skin
900608	skin
900613	skin
900319	skin
900607	nares
900314	nares
900605	nares
900316	nares
900609	nares
900614	nares
900320	nares
900350	skin
900351	nares
900128	skin
900055	skin
900468	skin
900469	nares
900478	nares
900129	skin
900132	skin
900405	skin
900148	skin
900408	skin
900557	skin
900414	skin
900130	skin
900404	nares
900133	skin
900406	skin
900147	skin
900409	skin
900558	skin
900415	skin
900131	nares
900134	nares
900407	nares
900149	nares
900410	nares
900559	nares
900416	nares
900617	skin
900321	skin
900615	skin
900323	skin
900619	skin
900325	skin
900627	skin
900327	skin
900618	nares
900322	nares
900616	nares
900324	nares
900620	nares
900326	nares
900628	nares
900328a	nares
900411	skin
900554	skin
900417	skin
900578	skin
900420	skin
900569	skin
900423	skin
900572	skin
900412	skin
900555	skin
900418	skin
900579	skin
900421	skin
900570	skin
900424	skin
900573	skin
900413	nares
900556	nares
900419	nares
900580	nares
900422	nares
900571	nares
900425	nares
900574	nares
900343	skin
900631	skin
900344	skin
900633	skin
900346	skin
900150	skin
900348	skin
900360	skin
900352	skin
900632	nares
900345	nares
900634	nares
900347	nares
900349	nares
900361	nares
900353	nares
900105	skin
900106	nares
900390	skin
900426	skin
900575	skin
900429	skin
900581	skin
900431	skin
900587	skin
900436	skin
900584	skin
900427	skin
900576	skin
900430	nares
900582	skin
900432	nares
900588	skin
900437	skin
900585	skin
900428	nares
900577	nares
900491	skin
900583	nares
900589	nares
900438	nares
900586	nares
900374	skin
900492	skin
900376	skin
900356	skin
900358	skin
900375	nares
900493	nares
900377	nares
900357	nares
900359	nares
900590	skin
900433	skin
900593	skin
900439	skin
900610	skin
900442	skin
900621	skin
900445	skin
900591	skin
900434	skin
900594	skin
900440	skin
900611	skin
900443	skin
900622	skin
900446	skin
900592	nares
900435	nares
900595	nares
900441	nares
900612	nares
900444	nares
900623	nares
900447	nares
900370	skin
900372	skin
900480	skin
900363	nares
900369	nares
900371	nares
900373	nares
900481	nares
900366	skin
900367	nares
900448	skin
900624	skin
900451	skin
900455	skin
900457	skin
900449	skin
900625	skin
900452	skin
900454	skin
900458	skin
900450	nares
900626	nares
900453	nares
900456	nares
900459	nares
900380	skin
900378	skin
900506	skin
900382	skin
900463	skin
900384	skin
900466	nares
900381	nares
900379	nares
900507	nares
900383	nares
900465	skin
900385	nares
900470	skin
Ca008HNL	skin
900494	skin
Ca007NKL	skin
900473	skin
Co001SMNL	skin
900500	skin
Co002MPPN	nares
900503	skin
Ca008HNNL	skin
900495	skin
Ca007NKNL	skin
900474	skin
Co001SMPN	nares
900501	skin
Co003LTNL	skin
900504	skin
Ca008HNPN	nares
900496	nares
Ca007NKPN	nares
900475	nares
Co002MPNL	skin
900502	nares
Co003LTPN	nares
900505	nares
900508	skin
900386	skin
900471	skin
900125	skin
900318	nares
900076	skin
900509	skin
900387	nares
900472	nares
900136	nares
900127	skin
900317	skin
900497	skin
900498	skin
900510	nares
900388	skin
900389	nares
900135	skin
900126	nares
900394	skin
900499	nares
900391	nares
9003912	nares
900392	skin
9003922	skin
900393	nares
9003932	nares
900395	skin
9003952	skin
900396	nares
9003962	nares
900397	skin
9003972	skin
900398	skin
9003982	skin
900399	nares
9003992	nares
900400	skin
9004002	skin
900401	skin
9004012	skin
900402	nares
9004022	nares
900403	skin
9004032	skin
Ca006ONL	skin
Ca006ONL2	skin
Ca006ONNL	skin
Ca006ONNL2	skin
Ca006ONPN	nares
Ca006ONPN2	nares
