Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
g__Staphylococcus_ASV-1,0.020258508694342803,0.030714434483632917,0.030377978441130524,0.027116973873035414,0.004851612042928852
g__Streptococcus_ASV-1,0.02339364201438941,0.02809937185280822,0.02256394076013234,0.024685651542443326,0.0024375145552901897
g__Dolosigranulum_ASV-1,0.021017869611556387,0.02308905798610649,0.01848280917283697,0.020863245590166616,0.0018836690214277345
g__Corynebacterium_ASV-1,0.018481761679311252,0.02354140075847108,0.018558794926676152,0.02019398578815283,0.00236718873602324
g___ASV-6,0.015765369040065123,0.028966811775405398,0.01022143830656918,0.0183178730406799,0.007862727013210408
g__Haemophilus_D_734546_ASV-1,0.017384438573554855,0.016250146840233418,0.020706027926299775,0.01811353778002935,0.0018907508742917062
g__Cutibacterium_ASV-1,0.014343992314677213,0.017369062712790897,0.017738518260009672,0.01648385776249259,0.0015206122563862824
g__Streptococcus_ASV-2,0.01451697351755344,0.014979042920614293,0.01646581922918348,0.01532061188911707,0.0008314653418785171
g__F0422_ASV-1,0.011813608171697226,0.012554570772799943,0.014081487284227423,0.012816555409574862,0.0009442089739361212
g__Staphylococcus_ASV-2,0.012275301541160901,0.012190926554889556,0.01260873390051424,0.012358320665521566,0.0001803882401408966
g__Cutibacterium_ASV-2,0.013550982687803262,0.008953736177110505,0.0137201284145406,0.012074949093151455,0.0022081108244626996
g___ASV-5,0.01285160775970721,0.010598408674155546,0.011743937212183328,0.011731317882015362,0.000919907953874781
g__Corynebacterium_ASV-4,0.014357910441117713,0.01007556056070129,0.00936325844358865,0.01126557648180255,0.002205861972632789
g__Haemophilus_D_734546_ASV-2,0.012549287697953947,0.009865759460456988,0.010576548258707675,0.010997198472372871,0.001135206560367852
g__Dolosigranulum_ASV-2,0.012469901653030496,0.01033499761758617,0.00993491404053482,0.010913271103717162,0.0011127565524253124
g__Veillonella_A_ASV-3,0.010320411493432794,0.012499812602631617,0.00683817403442759,0.009886132710164001,0.002331664121815419
g___ASV-3,0.00918716318233876,0.008790075082789485,0.011136188835392661,0.009704475700173637,0.00102527122131006
g__Veillonella_A_ASV-1,0.009696246008993612,0.008184288834373022,0.008461570954331171,0.008780701932565934,0.0006572097891457377
g__Staphylococcus_ASV-3,0.00816906147102025,0.005035219950831877,0.011256896239007339,0.008153725886953156,0.002540011856116057
g__Gemella_ASV-1,0.007760847617927744,0.008110959145805546,0.007502311715790596,0.007791372826507961,0.00024941500193466045
g__Prevotella_ASV-2,0.010099629806020406,0.00408351922818006,0.00886280804744065,0.007681985693880372,0.002594115481135635
g__Prevotella_ASV-1,0.008537665586302947,0.005439895984599522,0.008823309871362421,0.007600290480754964,0.001532074073200733
g__Neisseria_563205_ASV-2,0.0077720661121520734,0.006939040379163655,0.008009645324992485,0.007573583938769404,0.0004590534590301505
g__Micrococcus_ASV-1,0.006884390143321947,0.007823989111557014,0.007625971472217256,0.007444783575698739,0.0004044200338432837
g___ASV-21,0.009473023904754064,0.010411745051876888,0.0016963332765510108,0.007193700744393988,0.0039060710144924933
g__Streptococcus_ASV-3,0.0051954511924752,0.011191256165727883,0.0045162907235421915,0.006967666027248424,0.002999372154194499
g__Neisseria_563205_ASV-4,0.006613080711769377,0.00624719684768779,0.007318215308697779,0.006726164289384982,0.00044449301276908696
g__Porphyromonas_A_859423_ASV-1,0.006416052971381093,0.006113519733322567,0.006817688283417892,0.006449086996040517,0.0002884230363253921
g__Actinomyces_ASV-1,0.005492747878113907,0.006851666487723371,0.006903258862748958,0.006415891076195412,0.0006531005366267927
g___ASV-59,0.0060042815176209255,0.003557532451069844,0.009436370620523871,0.00633272819640488,0.002411236539103336
g__Brachybacterium_ASV-1,0.007961441761702262,0.005563776155524681,0.00513340514381724,0.006219541020348061,0.0012441780275821348
g__Prevotella_ASV-4,0.007016326083403635,0.004810201161236105,0.006722345810299357,0.0061829576849797,0.0009780768392970852
g___ASV-19,0.006116271583395017,0.0058978283998630315,0.006479119345144455,0.006164406442800835,0.00023973946175526474
g__Neisseria_563205_ASV-1,0.006275004478301524,0.006726828190061228,0.004698857348351989,0.00590023000557158,0.0008692941054914329
g___ASV-48,0.004799566171842601,0.007035259284214825,0.005805770404289065,0.005880198620115497,0.0009142339571686888
g__Granulicatella_ASV-1,0.005900052030239767,0.004767638403811094,0.00669712596617121,0.005788272133407358,0.0007916655953652372
g__Streptococcus_ASV-7,0.0050146592808279185,0.005834303680440476,0.006510834163033603,0.005786599041433999,0.0006117415679695974
g___ASV-13,0.006085567561156936,0.0044158357917610394,0.006633074956781131,0.0057114927698997025,0.0009430398863304972
g__Prevotella_ASV-5,0.008264804833053665,0.0040857982990740865,0.0042366140153171075,0.00552907238248162,0.0019354345551496816
g__Granulicatella_ASV-2,0.005798538579591459,0.0045527825936862686,0.006023064979357931,0.00545812871754522,0.000646705357453116
g__SIO2C1_ASV-1,0.005409161195838695,0.004576568944092927,0.00635088268962156,0.0054455376098510614,0.0007248171031440788
g__Corynebacterium_ASV-9,0.007267670342574841,0.005133473034013656,0.0037841744517140776,0.0053951059427675245,0.001434114067898881
g__Chryseobacterium_796614_ASV-1,0.0076588587677862505,0.0035909945412209514,0.004901823132515603,0.005383892147174268,0.001695321551134751
g___ASV-16,0.006720022471135354,0.005847360582074217,0.0035815890992545677,0.005382990717488045,0.0013226666336825226
g__Fusobacterium_C_ASV-1,0.004397894527974428,0.004409732800528069,0.007271873535500119,0.005359833621334205,0.0013520250271837819
g__SIO2C1_ASV-4,0.0032361525832990522,0.005882323246342685,0.00673235099448558,0.005283608941375772,0.0014887791299864487
g___ASV-24,0.0054627216353481025,0.004609273698913779,0.005737163749169768,0.005269719694477217,0.0004802577802608102
g___ASV-23,0.00733622347186443,0.003917651950308392,0.004310355402776501,0.0051880769416497744,0.0015274061099022401
g___ASV-10,0.0036859397507975904,0.00440720555519078,0.00695126405693031,0.005014803120972893,0.0014005872119730218
g___ASV-35,0.006521909833624283,0.004274004691509702,0.004236821753367908,0.005010912092833965,0.0010685445778338867
g__Veillonella_A_ASV-4,0.005164649992886701,0.003694426272921474,0.005971338409966157,0.004943471558591444,0.0009426106105928445
g__Cloacibacterium_ASV-1,0.0057815089525546995,0.0028301559349207164,0.006181279862379082,0.004930981583284832,0.0014944464970246421
g__Staphylococcus_ASV-4,0.0021461950318250236,0.005145492302120861,0.0071705921337859805,0.004820759822577288,0.0020640138802829958
g___ASV-2,0.007696758265459644,0.00342554198806757,0.003003444362506822,0.004708581538678012,0.0021199751121551004
g__Micrococcus_ASV-2,0.0038084783484144485,0.004892316531621826,0.005307062092862383,0.004669285657632885,0.0006317939473410094
g___ASV-15,0.0036093926176508895,0.00727378960925007,0.003034684869640911,0.004639289032180623,0.001877590160611932
g__Rothia_ASV-1,0.004639537807431145,0.004825780265933819,0.004380794436826403,0.0046153708367304555,0.00018246667071228787
g__Massilia_ASV-1,0.0045530557790278035,0.0018812802051644897,0.007084988960562121,0.004506441648251471,0.0021246608922588905
g__Gemella_ASV-2,0.0040990677282885385,0.004814563172742761,0.004525077505750965,0.004479569468927421,0.0002938669413417532
g___ASV-9,0.005634704465229481,0.0030137676787866077,0.0046250088206812425,0.00442449365489911,0.0010793461472619586
g__Neisseria_563205_ASV-3,0.004203454650025877,0.005599370209736661,0.0030659193666261937,0.004289581408796243,0.001036068420374672
g__Corynebacterium_ASV-6,0.003967439017862008,0.00151912428513752,0.00696561925966355,0.004150727520887693,0.0022272962508222646
g__F0422_ASV-2,0.004001724661587764,0.0052050389093659605,0.0030565332456696853,0.004087765605541137,0.0008792312664144111
g__Prevotella_ASV-9,0.005964053791301262,0.0030753678639703005,0.0029082139460302123,0.003982545200433924,0.0014027989473029687
g__Porphyromonas_A_859423_ASV-2,0.003968199097868048,0.0042257717625086575,0.0036911127509384432,0.00396169453710505,0.00021832208110396479
g__Rothia_ASV-3,0.0032102736682487914,0.00265096711909762,0.005929292374796445,0.003930177720714286,0.0014319102635070797
g___ASV-32,0.006282245845076979,0.002986736222054014,0.0022726482804090735,0.003847210115846689,0.0017463351432970985
g__Lactococcus_A_346120_ASV-1,0.00467338699278414,0.002904070511106772,0.0036774685260808843,0.0037516420099905994,0.0007242221033036178
g__Paracoccus_ASV-1,0.004071246672577537,0.0035591010379126633,0.0032449192971427234,0.003625089002544308,0.00034055840561780993
g__Pauljensenia_ASV-1,0.005145369284279888,0.003908037050990529,0.0017074105880012134,0.0035869389744238767,0.0014217871337183694
g__Acinetobacter_ASV-3,0.0009208923815289789,0.004474538879442181,0.005097077497750763,0.0034975029195739742,0.001839579658761711
