Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
g__Streptococcus_ASV-1,0.01579759916690279,0.021980066980640603,0.01785062317010611,0.018542763105883167,0.0025709946629011255
g___ASV-21,0.012859300867617747,0.01302999897055809,0.013259423765180958,0.013049574534452267,0.00016393491658770373
g___ASV-6,0.01547875670586909,0.01287435668772633,0.010115638257129828,0.012822917216908416,0.002189786045586856
g__Veillonella_A_ASV-1,0.014144271126230517,0.010853927498656829,0.008899853421478893,0.01129935068212208,0.002164067254770411
g__Staphylococcus_ASV-1,0.012621573332127885,0.009768777798269008,0.011198970045301791,0.011196440391899562,0.0011646502733613613
g__Neisseria_563205_ASV-2,0.013264476502997568,0.011798992932963902,0.008479236400403913,0.01118090194545513,0.0020018588131196654
g__Granulicatella_ASV-1,0.007152583455701407,0.01434701067143963,0.011699077772143874,0.011066223966428304,0.002971006978023357
g__Massilia_ASV-1,0.01100020993322981,0.010012976789785901,0.011912566861322084,0.010975251194779266,0.0007757051905367537
g__Gemella_ASV-1,0.010076140459773522,0.012083783704261941,0.008220834118721343,0.010126919427585602,0.0015774512676648396
g__Haemophilus_D_735815_ASV-1,0.007244972760089364,0.011060556027073553,0.010989820638610951,0.009765116475257955,0.0017822446769215972
g__Haemophilus_D_734546_ASV-1,0.008728166878806561,0.009647802860043282,0.009834543156026054,0.009403504298291966,0.00048358277964504165
g__Cutibacterium_ASV-1,0.011292675449991123,0.00984550446412075,0.006783864253670582,0.009307348055927485,0.0018796371707993672
g__Streptococcus_ASV-2,0.01043127306982699,0.0077075241330788885,0.009561730889411715,0.009233509364105864,0.0011359281358914325
g__Staphylococcus_ASV-2,0.010682210247488881,0.007633562585037508,0.007810213159275735,0.008708661997267374,0.0013973715512368094
g__Escherichia_710834_ASV-1,0.009369674930560427,0.005721670975119091,0.01003429001071871,0.008375211972132743,0.0018958530478068183
g__Actinomyces_ASV-1,0.011311168679550392,0.007550982878146175,0.00528936012072702,0.008050503892807863,0.0024836378577731606
g__Granulicatella_ASV-2,0.005075472784062938,0.008570677874670123,0.009911052669790636,0.0078524011095079,0.002038406132470908
g__Chryseobacterium_796614_ASV-1,0.006871592780715677,0.010656200315931971,0.005444013562391067,0.007657268886346239,0.002199194988424313
g__Acinetobacter_ASV-1,0.00931853046638075,0.006292376652054765,0.00652438233873936,0.007378429819058292,0.0013751241279654877
g__Prevotella_ASV-4,0.010427767674507399,0.005321982481401083,0.005504606804300237,0.007084785653402905,0.0023650207195568076
g__Streptococcus_ASV-4,0.009672176076609485,0.004674438990127485,0.006004070483333601,0.006783561850023524,0.002113456740265024
g__Streptococcus_ASV-3,0.0069346096696094595,0.006339480380029578,0.007002880331555048,0.006758990127064695,0.0002979446723959816
g___ASV-2,0.006527700871577705,0.007062627003257274,0.00657715968794128,0.0067224958542587525,0.00024135512220006429
g__F0422_ASV-1,0.0054041562829608425,0.009607338506075537,0.005007137614879535,0.006672877467971972,0.0020812980154721007
g__Porphyromonas_A_859423_ASV-1,0.005551349160016181,0.008052935679146795,0.006378147784651272,0.006660810874604749,0.0010406432609979083
g__Micrococcus_ASV-1,0.005789621887858727,0.007423512318957868,0.00648631025750829,0.006566481488108295,0.0006694376022061474
g__Neisseria_563205_ASV-1,0.004379021345422812,0.008108746349563208,0.006717805405450638,0.006401857700145553,0.0015389562189989207
g__Cutibacterium_ASV-2,0.007174622619932705,0.006397400892861554,0.005168655505277865,0.006246893006024041,0.000825818981080554
g___ASV-3,0.005338230392645264,0.006338035746436543,0.00570754515358859,0.0057946037642234655,0.00041278492190783216
g__Fusobacterium_C_ASV-1,0.004014686011489827,0.005188068481843434,0.007906104776893224,0.005702953090075495,0.001629849608967882
g___ASV-15,0.005929376304546977,0.00610831211196545,0.004955995771682739,0.005664561396065055,0.0005063289041959135
g___ASV-92,0.009061174804815511,0.003073894748550037,0.003644948961456079,0.005260006171607209,0.0026979236413810824
g__Corynebacterium_ASV-2,0.004815037355400638,0.004156278217580431,0.006097597185765468,0.005022970919582179,0.0008060633181885415
g___ASV-41,0.0053749567062492416,0.0054355781159469724,0.004207518083059119,0.005006017635085111,0.0005651665770771879
g__Acinetobacter_ASV-2,0.0060031054329828274,0.0034087842875666244,0.005365249685662864,0.004925713135404105,0.0011037873695141462
g__Corynebacterium_ASV-6,0.004916166140827257,0.0038934593383186714,0.00544168835591235,0.004750437945019426,0.000642833648203567
g__Prevotella_ASV-1,0.00500516456869894,0.00472379826521829,0.004479490865442547,0.004736151233119925,0.0002147830803947815
g___ASV-7,0.0046388412253169685,0.004337116247250091,0.004770408926342971,0.00458212213297001,0.00018138068257373029
g__Corynebacterium_ASV-3,0.0048265137220751975,0.004944373397220039,0.003890781999947828,0.004553889706414355,0.0004713502579736822
g___ASV-19,0.004087035284974866,0.0032344153507603726,0.006221369182659692,0.00451427327279831,0.0012562835460606485
g__Paracoccus_ASV-2,0.005885872908759095,0.0038216312906284413,0.0031429594433487703,0.004283487880912102,0.0011664410835739215
g___ASV-24,0.0054739300613418935,0.003100243112651719,0.004258405642129902,0.004277526272041171,0.0009691479527439453
