Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__,0.16496430390674688,0.1775679322561716,0.17450126000520993,0.17234449872270835,0.059439121317216945
 g__Streptococcus,0.061913329194089546,0.07647746011108246,0.07007727282292604,0.06948935404269914,0.014012750372935855
 g__Prevotella,0.0752631284230893,0.053507159271302555,0.06428051826723154,0.06435026865387422,0.02069082586997085
 g__Corynebacterium,0.0674749345939189,0.06848134963075346,0.05579626624751577,0.06391751682406245,0.01518368086093917
 g__Staphylococcus,0.04290224879821578,0.0594839406301724,0.0665462086515841,0.056310799359990574,0.012780383627052467
 g__Veillonella_A,0.0331878304257608,0.0358941786705857,0.0309053527411546,0.0333291206125003,0.007558363363421294
 g__Dolosigranulum,0.0351660211268885,0.03325833031788007,0.0300956694175084,0.0328400069540923,0.002363949975193744
 g__Cutibacterium,0.029240436584595127,0.030160731312780464,0.029530822454833003,0.029643996784069475,0.004225428487989086
 g__Haemophilus_D_734546,0.029712330775555303,0.0245235994802746,0.0307737825461641,0.0283365709339979,0.0033839476268031957
 g__Neisseria_563205,0.0243311480548834,0.0253991396788316,0.0232256756718707,0.0243186544685285,0.0027102347231321
 g__Leptotrichia_A_993758,0.016628718054925183,0.02014338530530953,0.018442301294937402,0.018404801551724,0.007058148802250305
 g__Caldora,0.01316585051686074,0.018323748683968195,0.022295940640562,0.017928513280463347,0.005092055144644868
 g__Granulicatella,0.0170457158660413,0.0150268828043622,0.0178493031050686,0.0166406339251574,0.0014760351193132
 g__F0422,0.0148610584059358,0.0165771393966275,0.017692262857481298,0.0163768202200148,0.0024553017678142003
 g__Capnocytophaga,0.018595176943012857,0.013495158126708099,0.013474191265251597,0.015188175444990942,0.004950780130161557
 g__Acinetobacter,0.015122928043127572,0.014267388335309683,0.015457293455386323,0.014949203277941215,0.004649349076871139
 g__Rothia,0.0145033483576743,0.011534679194027203,0.016632526234108623,0.014223517928603397,0.0046945777626747134
 g__Fusobacterium_C,0.012447549120994777,0.012651791462979461,0.0147834520172352,0.013294264200403,0.002904232890223088
 g__Micrococcus,0.011375802556324201,0.013135331787761865,0.0147948943844729,0.0131020095761863,0.0017781151811165896
 g__Gemella,0.011391597544029063,0.014913461664511601,0.0111862247044799,0.012497094637673501,0.0017951405068355
 g__Actinomyces,0.012342112711451253,0.01202935740023328,0.0118783159478802,0.01208326201985504,0.0022096431900332485
 g__Porphyromonas_A,0.01067226327361571,0.009581281289628926,0.010838091776986018,0.010363878780076883,0.000972008937808806
 g__Caldalkalibacillus,0.0118340809194222,0.011714487134957902,0.0046886643928908,0.009412410815757,0.0043152316937317
 g__Paracoccus,0.00810809380111078,0.008031680878920287,0.009044632275707485,0.008394802318579446,0.0020458247058085894
 g__Tersicoccus,0.0089985616736303,0.0099144914648376,0.005390777920391446,0.0081012770196197,0.002156641978286808
