Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__,0.18745416733025203,0.1813452382605491,0.1810198573727119,0.1832730876545041,0.06161813011102
 g__Streptococcus,0.05380813229929581,0.054092930891103855,0.05895333561679642,0.05561813293573209,0.013167021972370513
 g__Prevotella,0.04491115549365543,0.04469946954406839,0.05037850667787266,0.0466630439051987,0.016829632185527684
 g__Acinetobacter,0.04461082832545759,0.03800524062734911,0.052739086504169135,0.045118385152325274,0.01035797437794173
 g__Corynebacterium,0.03941490226796213,0.03875181420358981,0.03961505225939849,0.03926058957698335,0.009158403396721809
 g__Staphylococcus,0.03530576120870745,0.024550328885544134,0.03159665304725353,0.03048424771383486,0.0072661021583739025
 g__Veillonella_A,0.02704101514711918,0.0313492208237706,0.018954077687030453,0.025781437885973327,0.006965975625462223
 g__Neisseria_563205,0.0238884362434281,0.0227596408088606,0.0177448358707819,0.0214643043076902,0.0052963056492416
 g__Granulicatella,0.014375297818368,0.0266234125605261,0.0213575784396919,0.0207854296061953,0.0059998356412469004
 g__Cutibacterium,0.024572169258308126,0.019261824532258727,0.017732307484926085,0.020522100425164256,0.003528641958809021
 g__Caldalkalibacillus,0.0156452483813047,0.015580651532278,0.0160497149213224,0.0157585382783017,0.0017062033750986
 g__Paracoccus,0.012908638306017958,0.016156491123023444,0.015266158675464983,0.014777096034835542,0.005185628225483841
 g__Leptotrichia_A_993758,0.016397931701095925,0.011247771788860888,0.014779254071509712,0.014141652520488754,0.005188462654679721
 g__Gemella,0.013433904696898261,0.016840435472369207,0.0095636331984488,0.013279324455905453,0.0032681543939258317
 g__Actinomyces,0.015274001489545549,0.013193203371992018,0.008875325777148984,0.01244751021289546,0.005540417630629648
 g__Capnocytophaga,0.0164460015521406,0.009231165754584422,0.00999910676831619,0.011892091358347038,0.005603012476657442
 g__Haemophilus_D_734546,0.0100027533694053,0.011260519456970725,0.0129261455498757,0.011396472792084,0.0026793307991462
 g__Escherichia,0.0124161862718986,0.0084757762078728,0.013293219674628999,0.011395060718133499,0.0022410744638943
 g__Haemophilus_D_735815,0.009272670775990205,0.0119226385493655,0.01244222567171407,0.011212511665689935,0.002157316260721696
 g__Moraxella_A,0.013289463432131192,0.009415773409621967,0.010690345574780121,0.011131860805510986,0.0024775285135736564
 g__Porphyromonas_A,0.00843261560057974,0.013622474477717845,0.010558480957352378,0.010871190345216717,0.0028449159792236713
 g__Chryseobacterium_A_796612,0.010120288168494694,0.0132227189560109,0.008083416165237355,0.010475474429914316,0.0026741441883147347
 g__Rothia,0.0121720601617658,0.008681308339999,0.009184606461543754,0.010012658321102931,0.0041711264041734
 g__Micrococcus,0.0089971618618719,0.011784956754338242,0.0091440058592015,0.009975374825137282,0.0015253052527182264
 g__F0422,0.007870467523391905,0.012535773796087599,0.008693469893187759,0.0096999037375558,0.0024462338048772273
 g__Anaerococcus,0.008806299791178087,0.008884933636510273,0.008882550098238056,0.008857927841975338,0.0031753019090546434
 g__Caldora,0.009425300637303402,0.008881367669445625,0.008738021596558659,0.009014896634435688,0.002283618378377948
 g__Pseudomonas_E_647464,0.010269678246036652,0.005995261406864458,0.009353517871775935,0.008539485841558947,0.003225773179251536
 g__Fusobacterium_C,0.005037680736236584,0.00812230737199894,0.010654599672015102,0.007938195926750194,0.002764285392796314
 g__Faecalibacterium,0.0066215693989523,0.0101575565828542,0.0069453603056959,0.0079081620958341,0.0022087063223588414
 g__Mesorhizobium_I,0.008458368671448425,0.005975474208881996,0.008047594511181701,0.007493812463837301,0.0028674843340551364
 g__Tersicoccus,0.006017200680863915,0.0075752127274537175,0.0090483574634467,0.007546923623921412,0.0014020594582648037
 g__Brevibacterium,0.008480203783834385,0.007361865192884821,0.0063604212548851995,0.0074008300772014325,0.001766600141093549
 g__Bifidobacterium_388775,0.006355824258507611,0.008129622463588802,0.0067551611799697,0.007080202634022034,0.0013330571764725721
 g__Brevundimonas,0.0067219242830125776,0.008009979993032,0.004540580397750634,0.006424161557931741,0.0020830483453695954
 g__Sphingomonas_L_486704,0.00580254189827438,0.005000622806466792,0.006860474517659938,0.005887879740800275,0.0030582197648013265
 g__Nocardioides_A_392796,0.006130557914648447,0.0053590263788241,0.006866808550920995,0.006118797614797865,0.0017474197971797038
 g__Psychrobacter,0.0064323070735089,0.0039954148778209,0.0076559246660064,0.0060278822057788,0.0016064672829593
 g__Jeotgalicoccus_A_310962,0.0033575825174934,0.007066242034189,0.0056353369399322,0.0053530538305383004,0.002059913337022463
 g__Chishuiella,0.0048387541261495,0.0050358695549833,0.006919821061118,0.005598148247416899,0.0009559695819703999
 g__Finegoldia,0.0065325490507827,0.0062054670147034,0.0032805045862393,0.0053395068839084,0.0015400038589681
 g__Aeromonas,0.0060366127222918,0.0059720263872394,0.0039330141252544,0.0053138844115952,0.0013048023183206
 g__Blautia_A_141781,0.004862395512133844,0.005784730889888054,0.004586422427853028,0.005077849609958205,0.0012286255475211065
 g__Telluria_573210,0.00519018343561147,0.0044289103798576,0.005036140985351,0.0048850782669400995,0.0019905532469021822
 g__Brachybacterium,0.0043836470896821,0.0053669979102672,0.0055114166604731,0.0050873538868075,0.0005032711726238
 g__Mediterraneibacter_A_155507,0.004635594969946985,0.0045604306662038,0.0037283789044467,0.0043081348468659,0.001177691970134914
 g__Aggregatibacter_736122,0.0055019651959109,0.0038216296761882,0.0024744619318438185,0.0039326856013143004,0.0016572284835382
 g__Pauljensenia,0.003941151584081997,0.004282601601392173,0.0038451559254402998,0.0040229697036380145,0.0010510156309423322
 g__Abiotrophia,0.0039871264441495,0.0049286602243132,0.002640677617395,0.0038521547619525002,0.0010810558343949
 g__Peptoniphilus_A,0.004060067350193183,0.0031896748489830345,0.00394634154614806,0.003732027915108073,0.0009298804732687058
 g__Dolosigranulum,0.0029737526988695,0.0025305406190734,0.005020763854597,0.0035083523908467,0.0011284911379515002
 g__Acidipropionibacterium,0.0016092340349004,0.0037345345001732,0.004698137051315001,0.0033473018621295,0.0013719182713152
 g__Dialister_37762,0.0022764777840903134,0.00477591010955658,0.0023617871395501125,0.0031380583443989868,0.0020804348704978703
 g__Alloprevotella,0.003440842655594264,0.003380242400661807,0.003255983391878475,0.0033590228160448187,0.0008655405938583911
 g__Microbacterium_A_383321,0.0028677413989621,0.0025830030714925002,0.0044873085615166,0.0033126843439905,0.000974513405404604
 g__Pleomorphomonas,0.0030108410386514607,0.0021152623492731943,0.0037304902998025998,0.002952197895909,0.0013029436427939999
 g__Agathobacter_164117,0.0030846433093746,0.0032914686161879462,0.002690459751742153,0.0030221905591015664,0.0005338684020721065
 g__Sphingobacterium,0.0028357973079363224,0.002458922876083431,0.003318072462446977,0.002870930882155527,0.0008156505393913059
 g__Lactobacillus,0.0031084365653002545,0.0024549773135677743,0.002573011953147662,0.00271214194400524,0.0008351640896311515
 g__Lactococcus_A_346120,0.0032248926365548,0.0029270254093092998,0.0022540862042175,0.0028020014166939,0.0004066294222501
 g__Collinsella,0.002876971682867,0.0021678138216983,0.0032461348277374,0.0027636401107676003,0.0004517611366489503
 g__Leuconostoc_B,0.0028665661335137,0.0027295026284828,0.0020755644690974,0.0025572110770313,0.0009482414078754208
