Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__,0.18262679057606065,0.2071069002712129,0.20712892631052587,0.19895420571926603,0.08004534747559011
 g__Corynebacterium,0.0611292218064271,0.05987410657120969,0.05407969532624971,0.058361007901295614,0.014834386838362926
 g__Acinetobacter,0.05174637658541138,0.056428140444837856,0.049764284959630894,0.05264626732995986,0.012407086021566201
 g__Staphylococcus,0.0383136596078622,0.040799328561511375,0.039175599026687095,0.039429529065353325,0.0060973095934158
 g__Prevotella,0.038896385785753926,0.024788177844130708,0.039344171160884234,0.03434291159692265,0.012028919120177492
 g__Streptococcus,0.035772818035465004,0.031950257297709804,0.0365833695317364,0.034768814954970126,0.008110010808667618
 g__Cutibacterium,0.03670537793747354,0.0368627964060583,0.030028055530576796,0.03453207662470272,0.005228132234643036
 g__Micrococcus,0.02286668333027732,0.017216649206668298,0.0133584499439668,0.017813927493637513,0.005388217795969634
 g__Sphingomonas_L_486704,0.018343588240796026,0.02145587329379816,0.012158912867637912,0.01731945813407721,0.006826459806673314
 g__Brachybacterium,0.0218083643586047,0.0087584275539993,0.014966356406044299,0.0151777161062162,0.0054916432644832
 g__Paracoccus,0.014204737799499049,0.015735023138604462,0.010889513776982976,0.01360975823836222,0.0035559608659044457
 g__Neisseria_563205,0.0109559644029995,0.0140769913684846,0.0121160598355708,0.0123830052023516,0.003777018618764
 g__Faecalibacterium,0.0130617756839195,0.007765247719300587,0.013715594907957625,0.01151420610372595,0.0038304697226606726
 g__Escherichia,0.0104169050812895,0.0106910491274021,0.012916766135229098,0.0113415734479736,0.0012027093026952
 g__Caldalkalibacillus,0.0065876362798164,0.0161587307373048,0.008175288482934,0.0103072185000184,0.0042913359332453
 g__Veillonella_A,0.011042714436431518,0.011754047057748285,0.007665705112369344,0.010154155535516142,0.004213257670501827
 g__Psychrobacter,0.011196195865055108,0.0079573563627394,0.011856672528687842,0.010336741585494016,0.002088670301852369
 g__Moraxella_A,0.010445343121331148,0.009555551609775429,0.010110651627157814,0.010037182119421544,0.001084935506550682
 g__Caldora,0.008071258258617606,0.011370002140530681,0.008193296294861716,0.009211518898003406,0.0033567796007916094
 g__Haemophilus_D_734546,0.0080674712240522,0.0094253491656261,0.0103148222757776,0.0092692142218186,0.001833274569342
 g__Mesorhizobium_I,0.0063396235241027455,0.0055213380712575,0.0121854686473652,0.0080154767475752,0.00336200587496385
 g__Tersicoccus,0.009071013617884701,0.008423630522278468,0.0076228947915267,0.008372512977229934,0.0017610424178997701
 g__Brevibacterium,0.006552935213560815,0.009292780304804292,0.008422920174830038,0.008089545231065087,0.001908490381522512
 g__Anaerococcus,0.006208999249021376,0.009592244369825833,0.0067249537743811,0.00750873246440916,0.0034510236795238674
 g__Granulicatella,0.0079900903992307,0.0069946847423861,0.0080876253430096,0.007690800161542,0.001996429415244863
 g__Bifidobacterium_388775,0.008978044452202074,0.0071274951067142,0.006742895005124305,0.007616144854680193,0.0021221623329205973
 g__Clostridioides_A,0.0057683931682538,0.0063702262638889,0.01001529403632,0.0073846378228209,0.0018779443687952143
 g__Catenibacterium,0.0049468891623531,0.0094470485327577,0.0074701109717347,0.0072880162222819,0.0018420697294134
 g__Blautia_A_141781,0.007533471594999047,0.005496945619280635,0.007908423034002316,0.006979613416093918,0.0023396540813653386
 g__Pseudomonas_E_647464,0.004700143419821496,0.008949317500886733,0.00630549793194901,0.006651652950885611,0.0027693612961957543
 g__Nocardioides_A_392796,0.0057248057848604,0.007084274849016721,0.0071496111124375525,0.006652897248771466,0.0026301799549289665
 g__Aeromonas,0.0036486904187866998,0.0080311872728829,0.0070836620874752,0.0062545132597149,0.0019225739976085
 g__Actinomyces,0.007691445732329011,0.004979163322028026,0.005050682054428357,0.005907097036261709,0.002246903466031891
