Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__,0.1844409222882087,0.17777175708359766,0.1925088251186191,0.18490716816347486,0.07429069420208143
 g__Corynebacterium,0.04915655749070537,0.05462175049423522,0.06797374916085762,0.05725068571526604,0.016795081199946195
 g__Streptococcus,0.050798051748545806,0.0569848269031565,0.05290179516275723,0.05356155793815358,0.010835292603266235
 g__Prevotella,0.039970297189289364,0.06515351483920777,0.047983825209684576,0.05103587907939358,0.01808793971415636
 g__Acinetobacter,0.04068590618794786,0.04858197849707007,0.044693380281180355,0.04465375498873295,0.011933788405484086
 g__Staphylococcus,0.03902341475925551,0.02623330011845172,0.03192964321678308,0.0323954526981633,0.010209279532622543
 g__Veillonella_A,0.030157819240863953,0.026462555770918605,0.02371136419662919,0.02677724640280395,0.005642703984286745
 g__Cutibacterium,0.023783034752851418,0.02240648884612902,0.021698316985797758,0.022629280194926084,0.0032283498118033053
 g__Granulicatella,0.0175166161918042,0.0234031879544099,0.0139757852191397,0.0182985297884512,0.0043455229965702
 g__Haemophilus_D_735815,0.0227987510895631,0.015348522077346298,0.007925292482202053,0.015357521883037182,0.006588353120509551
 g__Neisseria_563205,0.0163103543117066,0.015313949034485099,0.0131381698652519,0.0149208244038145,0.0018332869910746002
 g__Micrococcus,0.014347858113397506,0.010560602567313301,0.015316366501748299,0.013408275727486442,0.0026878327129080458
 g__Sphingomonas_L_486704,0.013546003343947052,0.00910465881997594,0.013415712482840377,0.01202212488225424,0.004363304744345403
 g__F0422,0.0129742478166485,0.0096388009399148,0.013597424439766624,0.012070157732109945,0.002502273934426467
 g__Faecalibacterium,0.009132925834718959,0.014314265690169066,0.0105590392326206,0.011335410252502799,0.0036701406693278936
 g__Actinomyces,0.010414980651368045,0.008170482930979524,0.014870662790972664,0.011152042124440124,0.0037275400694706637
 g__Moraxella_A,0.013496018797709562,0.006818401052948045,0.010777170177392843,0.010363863342683516,0.0029777445348399584
 g__Chryseobacterium_A_796612,0.008332816345903,0.011303842187895456,0.010865256684031566,0.010167305072609985,0.003657853759700165
 g__Gemella,0.0142126732284597,0.0093304446549661,0.0070592476519103,0.0102007885117787,0.003070153706950375
 g__Brachybacterium,0.0141728244451619,0.0092574783574689,0.0070801918911276,0.0101701648979194,0.0030177033502993998
 g__Paracoccus,0.011575126909646601,0.010140175625453923,0.008719731894491645,0.010145011476530689,0.002760274865162958
 g__Haemophilus_D_734546,0.011792960993242401,0.0095450852361381,0.007139484960293,0.0094925103965577,0.0026759928031847
 g__Leptotrichia_A_993758,0.007705888674899709,0.009899695667625089,0.009143942877894327,0.008916509073472842,0.00266709399358886
 g__Fusobacterium_C,0.00939537414330964,0.006982030261335193,0.010389162263318822,0.008922188889321002,0.001837687727139377
 g__Escherichia,0.0068654814208816,0.010580592902326599,0.0090203503973846,0.008822141573530999,0.0021033970807847998
 g__Caldora,0.008569449929381617,0.007059343818554219,0.008637843809500872,0.008088879185812262,0.0029449887531385016
 g__Blautia_A_141781,0.007943873910571548,0.0086927555306407,0.006078787279267743,0.007571805573493397,0.0030889575096839463
 g__Tersicoccus,0.008567020326535627,0.007258942682504,0.0074718098297185,0.007765924279586076,0.002162598329565485
 g__Porphyromonas_A,0.009458154583325872,0.006282702332084876,0.007338619151544422,0.0076931586889850325,0.0017790293045995538
 g__Catenibacterium,0.0077824692521507,0.0081450488729541,0.0070398134669322,0.007655777197345601,0.0015304176300054
 g__Psychrobacter,0.0066245878527523,0.005681907589071,0.0099976798491604,0.0074347250969945995,0.00213881082969179
 g__Capnocytophaga,0.006397108892354322,0.008305026726391744,0.006800573310409909,0.00716756964305188,0.0029936004687153724
 g__Brevibacterium,0.007965662440025799,0.006726766977871074,0.0057974209062473855,0.006829950108048045,0.0021652841324214175
 g__Anaerococcus,0.00710352527405372,0.0051879050274894,0.00727222789685879,0.006521219399467235,0.0029948119270085203
 g__Rothia,0.00544645134409544,0.0081670931861116,0.0064111594439390076,0.0066749013247152005,0.0014418023120623196
 g__Pseudomonas_E_647464,0.0048529004863601365,0.007190234913005406,0.005329745443829592,0.0057909602810651125,0.003084683055304198
 g__Caldalkalibacillus,0.005356202258178,0.0057223122281893,0.0070528251316422,0.0060437798726699,0.0008334842815308
 g__Finegoldia,0.0050012512072029,0.0069269783606288,0.0059576107740988,0.0059619467806435,0.0010614460297194
 g__Bifidobacterium_388775,0.004806065671708468,0.0058233648944665,0.0063456859497503,0.0056583721719751,0.001025178009867897
 g__Mediterraneibacter_A_155507,0.0049503919640273,0.006678162834495799,0.004281408496744471,0.0053033210984225684,0.001739124154522077
 g__Alloprevotella,0.0051114823059373975,0.006344143329601632,0.0046689899470131,0.005374871860850656,0.0014448913395338802
 g__Chishuiella,0.005760001603064901,0.0051353770178864,0.0052157806037598,0.005370386408237,0.000646940379094
 g__Nocardioides_A_392796,0.0054253788847583575,0.004322155813760618,0.0053912892144924,0.005046274637670419,0.0012043663163196793
 g__Mesorhizobium_I,0.0043337508867081,0.0050191429754864,0.004093647628994648,0.004482180497062945,0.0012116300100182536
 g__Peptoniphilus_A,0.004436890539275,0.004869750821944005,0.002913851070535447,0.004073497477251642,0.0016606715094306835
 g__Abiotrophia,0.0036224901286695003,0.0051687230553984,0.0039105943215537,0.0042339358352073,0.0007423602723706
 g__Methanobrevibacter_A,0.0050589472453232,0.004579074920043,0.0027881958666164,0.0041420726773275,0.0009773164546834
 g__Brevundimonas,0.0039582894658366,0.004800774175102284,0.0033505381557943185,0.004036533932244412,0.0008587906740058291
 g__Telluria_573210,0.0033852884896495663,0.0037815135776691267,0.004138924539131976,0.003768575535483672,0.0013343248381105747
 g__Jeotgalicoccus_A_310962,0.0043286322246757995,0.0026436447234123002,0.0040353035823121,0.0036691935101333998,0.0015490918625413
 g__Aeromonas,0.0048524736302584005,0.003091911577481,0.002967295277722164,0.0036372268284871213,0.000880948215906342
 g__Pauljensenia,0.0031541790051290435,0.0030865862782753647,0.004231824084759183,0.003490863122721346,0.0013265086530806016
 g__Dorea_A,0.001968065110952,0.0051499627691024,0.0021025199041467,0.0030735159280669,0.001885702772849
 g__Lactobacillus,0.004130420941656412,0.0019145779947081936,0.0032464549312185924,0.00309715128919436,0.0014494416666557862
 g__Exiguobacterium_A,0.0028381714149544003,0.0035868717540248002,0.0024218680815577,0.0029489704168456,0.001860070130088
 g__Collinsella,0.0025428892635868997,0.0032559999014909998,0.0036673911250901,0.0031554267633893,0.0005911372888156
 g__Agathobacter_164117,0.0029365140562908,0.0042701162739136,0.0018673464224741002,0.0030246589175595,0.0010297275066688
 g__Gemmiger_A_73129,0.00261219335543207,0.002318918443019,0.00380882572780446,0.002913312508751823,0.0010864779297368851
 g__Dialister_37762,0.0030544819654307028,0.0036099374217640795,0.0020561024623571766,0.0029068406165173714,0.0010729672316989835
 g__Leuconostoc_B,0.004160343813086444,0.001959646909753,0.00193428643912291,0.002684759053987485,0.00142078764443552
 g__Citricoccus_384863,0.0007581345649488,0.0044464499944985,0.0026820347886603,0.0026288731160358,0.0015431934693960001
 g__Bacteroides_H_857956,0.0020752109227348586,0.002631139921688116,0.0026254817836310522,0.002443944209351317,0.0011581663929794784
 g__Shewanella,0.0025917456549795,0.0030405097446075,0.0019721036840843215,0.0025347863612238,0.0006911453859412
 g__Lactococcus_A_346120,0.0024164295057292,0.0025702888763257,0.0028827579098506,0.0026231587639685,0.0002288474815762
 g__Dolosigranulum,0.0038616917041468,0.0009057670495346999,0.0023086097838037,0.002358689512495,0.0012253673193449999
 g__Clostridium_T,0.0018638677791309633,0.002488067578822511,0.002721643539195003,0.0023578596323827624,0.0011512623824594843
 g__Microbacterium_A_383321,0.0030621861009022425,0.0016321622147727,0.0023367022402069,0.0023436835186273,0.0009072021105295
 g__Aggregatibacter_736122,0.0017755116623781,0.0023594310605897,0.0027890770563080997,0.0023080065930919,0.0008290764809120863
 g__Peptostreptococcus,0.0032108738805689,0.0013719733358923977,0.0019696040563104,0.0021841504242573,0.0011128242635793
 g__Roseburia_A_166204,0.0015345449799309618,0.0024357446057443033,0.002645105544565956,0.002205131710080503,0.0008565097405274529
 g__Phocaeicola_A,0.0021152243992507208,0.0025191247249728003,0.0021230304044973776,0.002252459842906917,0.0005024943642292563
 g__Hymenobacter_910554,0.0022224582873297594,0.0022467845670934095,0.0023612819200382502,0.002276841591487161,0.0003638578793959707
 g__Sphingobacterium,0.0024916078362644907,0.0024677931453730663,0.0014443484844352612,0.0021345831553575886,0.0008786733193305958
 g__Roseomonas_507234,0.0011574533415270754,0.0018422511868215,0.003221823073006,0.0020738425337848,0.0009510392541389534
 g__Weissella,0.0025800282767405,0.0021213603066123315,0.001745589582245541,0.0021489927218661478,0.0004258351031546336
 g__Cloacibacterium,0.0010878632035742706,0.003589644170959718,0.0010375596951852368,0.0019050223565730605,0.0013393767102136017
 g__Paraclostridium,0.0016543704474244999,0.0028140806062568,0.0016919199570463999,0.0020534570035759,0.0005621855706512552
 g__Clostridioides_A,0.0028897026715381,0.0012749043814193999,0.0018743502766956,0.002012985776551,0.0006724475941188
 g__Friedmanniella,0.0026063668233979576,0.0015186215495850645,0.0016978275490830137,0.0019409386406886526,0.0007361015335241018
 g__Acidipropionibacterium,0.0025778289325997,0.0017708535907647,0.0014331748569274,0.0019272857934305998,0.0004803856251175
