DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	AD_skin_only	AD_nose_only	AD_shared

DATA
g__Massilia_ASV-10	#947fff	AD_skin_only
g__Lactobacillus_ASV-2	#947fff	AD_skin_only
g__Dialister_ASV-3	#947fff	AD_skin_only
g___ASV-86	#947fff	AD_skin_only
g__Varibaculum_ASV-2	#947fff	AD_skin_only
g___ASV-134	#947fff	AD_skin_only
g__Lactobacillus_ASV-3	#947fff	AD_skin_only
g__Intestinibacter_ASV-2	#947fff	AD_skin_only
g__Paracoccus_ASV-9	#947fff	AD_skin_only
g__Acinetobacter_ASV-16	#947fff	AD_skin_only
g___ASV-76	#947fff	AD_skin_only
g___ASV-104	#947fff	AD_skin_only
g__Prevotella_ASV-36	#947fff	AD_skin_only
g__Sphingomonas_L_486704_ASV-9	#947fff	AD_skin_only
g___ASV-100	#947fff	AD_skin_only
g__Marinococcus_ASV-1	#947fff	AD_skin_only
g___ASV-118	#947fff	AD_skin_only
g__CAG-83_ASV-1	#947fff	AD_skin_only
g__Brevibacterium_ASV-5	#947fff	AD_skin_only
g__Sphingomicrobium_483265_ASV-3	#947fff	AD_skin_only
g__Corynebacterium_ASV-10	#947fff	AD_skin_only
g__Leptotrichia_A_993758_ASV-18	#947fff	AD_skin_only
g__Blautia_A_141781_ASV-7	#947fff	AD_skin_only
g__S5-A14a_ASV-1	#947fff	AD_skin_only
g___ASV-142	#947fff	AD_skin_only
g___ASV-102	#947fff	AD_skin_only
g__Mediterraneibacter_A_155507_ASV-2	#947fff	AD_skin_only
g__Paracoccus_ASV-10	#947fff	AD_skin_only
g__Rickettsia_ASV-1	#947fff	AD_skin_only
g___ASV-79	#947fff	AD_skin_only
g__Leptotrichia_A_993758_ASV-17	#947fff	AD_skin_only
g__Hylemonella_582308_ASV-1	#947fff	AD_skin_only
g__Solirubrobacter_ASV-1	#947fff	AD_skin_only
g__Leptotrichia_A_993641_ASV-2	#947fff	AD_skin_only
g__Facklamia_A_322620_ASV-1	#947fff	AD_skin_only
g__Methylobacterium_ASV-1	#947fff	AD_skin_only
g__Streptococcus_ASV-8	#947fff	AD_skin_only
g__Peptoniphilus_B_226777_ASV-1	#947fff	AD_skin_only
g___ASV-62	#947fff	AD_skin_only
g__Sphingomonas_L_486704_ASV-7	#947fff	AD_skin_only
g__Bradyrhizobium_ASV-1	#947fff	AD_skin_only
g__Brevibacterium_ASV-7	#947fff	AD_skin_only
g__S5-A14a_ASV-2	#947fff	AD_skin_only
g__Oligella_ASV-1	#947fff	AD_skin_only
g__Fusobacterium_A_ASV-1	#947fff	AD_skin_only
g__Bifidobacterium_388775_ASV-5	#947fff	AD_skin_only
g__Capnocytophaga_820688_ASV-7	#947fff	AD_skin_only
g__Phenylobacterium_ASV-2	#947fff	AD_skin_only
g__UBA6175_ASV-2	#947fff	AD_skin_only
g__Dictyoglomus_ASV-1	#947fff	AD_skin_only
g__Brevundimonas_ASV-5	#947fff	AD_skin_only
g__Copromonas_ASV-1	#947fff	AD_skin_only
g__UBA6175_ASV-1	#947fff	AD_skin_only
g__Gemmiger_A_73129_ASV-3	#947fff	AD_skin_only
g___ASV-159	#947fff	AD_skin_only
g___ASV-151	#947fff	AD_skin_only
