DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	H_skin_only	H_nose_only	H_shared

DATA
g__Massilia_ASV-10	#947fff	H_skin_only
g__Lactobacillus_ASV-2	#947fff	H_skin_only
g__Sphingomonas_L_486704_ASV-8	#947fff	H_skin_only
g___ASV-129	#947fff	H_skin_only
g__Halomonas_E_640244_ASV-1	#947fff	H_skin_only
g__Lachnoclostridium_A_130679_ASV-1	#947fff	H_skin_only
g___ASV-134	#947fff	H_skin_only
g__Lactobacillus_ASV-3	#947fff	H_skin_only
g___ASV-86	#947fff	H_skin_only
g__Varibaculum_ASV-2	#947fff	H_skin_only
g___ASV-88	#947fff	H_skin_only
g__Intestinibacter_ASV-2	#947fff	H_skin_only
g__Paracoccus_ASV-9	#947fff	H_skin_only
g___ASV-135	#947fff	H_skin_only
g__Acinetobacter_ASV-16	#947fff	H_skin_only
g___ASV-76	#947fff	H_skin_only
g__Prevotella_ASV-36	#947fff	H_skin_only
g__Microbacterium_A_383184_ASV-2	#947fff	H_skin_only
g__Sphingobacterium_ASV-4	#947fff	H_skin_only
g___ASV-90	#947fff	H_skin_only
g__CAG-83_ASV-1	#947fff	H_skin_only
g___ASV-87	#947fff	H_skin_only
g__Faecalibacillus_ASV-1	#947fff	H_skin_only
g__Psychrobacter_ASV-4	#947fff	H_skin_only
g__Campylobacter_A_ASV-4	#947fff	H_skin_only
g__Gemmiger_A_73129_ASV-2	#947fff	H_skin_only
g___ASV-85	#947fff	H_skin_only
g__SIO2C1_ASV-9	#947fff	H_skin_only
g__Vescimonas_ASV-2	#947fff	H_skin_only
g___ASV-51	#947fff	H_skin_only
g__Peptoniphilus_A_ASV-2	#947fff	H_skin_only
g___ASV-142	#947fff	H_skin_only
g___ASV-110	#947fff	H_skin_only
g___ASV-102	#947fff	H_skin_only
g__Mediterraneibacter_A_155507_ASV-2	#947fff	H_skin_only
g__Anaerostipes_ASV-2	#947fff	H_skin_only
g__Rickettsia_ASV-1	#947fff	H_skin_only
g__Sphingomonas_L_486704_ASV-11	#947fff	H_skin_only
g___ASV-79	#947fff	H_skin_only
g__Micrococcus_ASV-3	#947fff	H_skin_only
g__Hylemonella_582308_ASV-1	#947fff	H_skin_only
g__Pleomorphomonas_ASV-1	#947fff	H_skin_only
g__Parvimonas_ASV-2	#947fff	H_skin_only
g__Brevibacterium_ASV-3	#947fff	H_skin_only
g___ASV-103	#947fff	H_skin_only
g__Coprococcus_A_187866_ASV-1	#947fff	H_skin_only
g___ASV-72	#947fff	H_skin_only
g__Methylobacterium_ASV-1	#947fff	H_skin_only
g__Stenotrophomonas_A_615274_ASV-1	#947fff	H_skin_only
g__Streptococcus_ASV-12	#947fff	H_skin_only
g__Pseudomonas_A_ASV-1	#947fff	H_skin_only
g__Parabacteroides_B_862066_ASV-2	#947fff	H_skin_only
g__Prevotella_ASV-23	#947fff	H_skin_only
g__Roseomonas_A_507160_ASV-2	#947fff	H_skin_only
g__Shewanella_ASV-2	#947fff	H_skin_only
g__Bifidobacterium_388775_ASV-6	#947fff	H_skin_only
g__Clostridium_T_ASV-4	#947fff	H_skin_only
g__Gluconobacter_B_ASV-1	#947fff	H_skin_only
g__Bosea_ASV-2	#947fff	H_skin_only
g__Brevibacterium_ASV-7	#947fff	H_skin_only
g__Clostridium_P_ASV-2	#947fff	H_skin_only
g__Faecalibacterium_ASV-4	#947fff	H_skin_only
g__Pseudoxanthomonas_A_615337_ASV-1	#947fff	H_skin_only
g__S5-A14a_ASV-2	#947fff	H_skin_only
g__Lachnospira_ASV-1	#947fff	H_skin_only
g__Psychrobacter_ASV-1	#947fff	H_skin_only
g__ER4_ASV-1	#947fff	H_skin_only
g__Fusobacterium_A_ASV-1	#947fff	H_skin_only
g___ASV-52	#947fff	H_skin_only
g__Bacteroides_H_ASV-3	#947fff	H_skin_only
g__Capnocytophaga_820688_ASV-7	#947fff	H_skin_only
g___ASV-137	#947fff	H_skin_only
g__Bifidobacterium_388775_ASV-5	#947fff	H_skin_only
g__Sphingomonas_L_486704_ASV-4	#947fff	H_skin_only
g__Solirubrobacter_ASV-2	#947fff	H_skin_only
g__Massilia_ASV-8	#947fff	H_skin_only
g__Corynebacterium_ASV-21	#947fff	H_skin_only
g__Faecalibacterium_ASV-7	#947fff	H_skin_only
g__Phenylobacterium_ASV-2	#947fff	H_skin_only
g__UBA6175_ASV-2	#947fff	H_skin_only
g___ASV-155	#947fff	H_skin_only
g__Prevotella_ASV-27	#947fff	H_skin_only
g__Mycobacterium_ASV-1	#947fff	H_skin_only
g__Brevundimonas_ASV-5	#947fff	H_skin_only
g__Anaerococcus_ASV-5	#947fff	H_skin_only
g__Copromonas_ASV-1	#947fff	H_skin_only
g__Megasphaera_A_38692_ASV-1	#947fff	H_skin_only
g__UBA6175_ASV-1	#947fff	H_skin_only
g__Gemmiger_A_73129_ASV-3	#947fff	H_skin_only
g___ASV-159	#947fff	H_skin_only
g__Sutterella_ASV-1	#947fff	H_skin_only
g__Psychrobacter_ASV-3	#947fff	H_skin_only
g__Skermanella_ASV-1	#947fff	H_skin_only
g__Brevundimonas_ASV-6	#947fff	H_skin_only
g___ASV-80	#947fff	H_skin_only
g__Bacteroides_H_ASV-6	#947fff	H_skin_only
g__Pseudomonas_E_650326_ASV-1	#947fff	H_skin_only
g__Selenomonas_B_42762_ASV-1	#947fff	H_skin_only
g___ASV-42	#947fff	H_skin_only
g__Exiguobacterium_A_ASV-1	#947fff	H_skin_only
g__Pseudomonas_E_647464_ASV-6	#947fff	H_skin_only
g___ASV-98	#947fff	H_skin_only
g__Eubacterium_G_ASV-1	#947fff	H_skin_only
g__Lactobacillus_ASV-1	#947fff	H_skin_only
g__Corynebacterium_ASV-13	#947fff	H_skin_only
g___ASV-130	#947fff	H_skin_only
g__Fimenecus_ASV-1	#947fff	H_skin_only
g__Paratractidigestivibacter_ASV-2	#947fff	H_skin_only
g__Fannyhessea_ASV-1	#947fff	H_skin_only
g__Comamonas_F_589250_ASV-2	#947fff	H_skin_only
g__Paracoccus_ASV-8	#947fff	H_skin_only
